date,n_APM,n_ret20,n_valid,coverage
2024-06-03,5093,5115,5093,0.9937560975609756
2024-06-04,5093,5115,5093,0.9937560975609756
2024-06-05,5093,5115,5093,0.9937560975609756
2024-06-06,5093,5115,5093,0.9937560975609756
2024-06-07,5093,5115,5093,0.9937560975609756
2024-06-11,5093,5115,5093,0.9937560975609756
2024-06-12,5094,5115,5094,0.9939512195121951
2024-06-13,5094,5115,5094,0.9939512195121951
2024-06-14,5094,5115,5094,0.9939512195121951
2024-06-17,5093,5115,5093,0.9937560975609756
2024-06-18,5093,5115,5093,0.9937560975609756
2024-06-19,5096,5116,5096,0.9943414634146341
2024-06-20,5098,5114,5098,0.9947317073170732
2024-06-21,5098,5115,5098,0.9947317073170732
2024-06-24,5099,5115,5099,0.9949268292682927
2024-06-25,5099,5116,5099,0.9949268292682927
2024-06-26,5100,5116,5100,0.9951219512195122
2024-06-27,5101,5116,5101,0.9953170731707317
2024-06-28,5099,5115,5099,0.9949268292682927
