scheme,model,universe,rank_ic,rank_icir,gross_sharpe,net_sharpe,net_annu_ret,mdd_net,daily_turnover,n_days,cost_rt,cost_bp
static_50_50,A,ALL,0.039264455529831745,11.166140206707308,4.3627092525980755,1.3760428606335031,0.11492431278408356,-0.0841501725237196,0.665481229022025,1454,0.0015,15
static_50_50,B,ALL,0.055237420179835774,10.738937902257623,3.7683416843247173,2.2136442128301654,0.2601463486565308,-0.11505079684341336,0.48775234673269563,1454,0.0015,15
static_50_50,C,ALL,0.05154702318729786,10.275007808668517,4.559370921529355,2.9207716527407945,0.31036174455950305,-0.08540062506626302,0.4653190254595421,1454,0.0015,15
rolling_ic_60,A,ALL,0.039264455529831745,11.166140206707308,4.3627092525980755,1.3760428606335031,0.11492431278408356,-0.0841501725237196,0.665481229022025,1454,0.0015,15
rolling_ic_60,B,ALL,0.056114965060256504,10.43309625155685,3.669556784878764,2.1570406354764127,0.25680436207674723,-0.11824096809610618,0.480063356233798,1454,0.0015,15
rolling_ic_60,C,ALL,0.05487700280993911,10.384985857322523,4.175208548495037,2.616543828735245,0.29256321769247573,-0.09385315418941537,0.4651276692376023,1454,0.0015,15
rolling_ic_120,A,ALL,0.039264455529831745,11.166140206707308,4.3627092525980755,1.3760428606335031,0.11492431278408356,-0.0841501725237196,0.665481229022025,1454,0.0015,15
rolling_ic_120,B,ALL,0.056063944345873994,10.422864128687683,3.68430856835387,2.178171571549675,0.2599849878688695,-0.11152383659188075,0.4792709728402017,1454,0.0015,15
rolling_ic_120,C,ALL,0.0550907922270169,10.474661018910252,4.305591341046799,2.7472355109945403,0.30461152744732295,-0.08840686026319347,0.46139786555136875,1454,0.0015,15
vol_adj_ic_60,A,ALL,0.039264455529831745,11.166140206707308,4.3627092525980755,1.3760428606335031,0.11492431278408356,-0.0841501725237196,0.665481229022025,1454,0.0015,15
vol_adj_ic_60,B,ALL,0.054148509564034504,10.85467346340814,3.7163921974643013,2.1464484920565563,0.2526421835809245,-0.13753504421993717,0.49292233159907445,1454,0.0015,15
vol_adj_ic_60,C,ALL,0.05339222377314229,10.742383244876917,4.159809929593726,2.5500690164134547,0.28565530031478664,-0.11278587331657543,0.48128464912227953,1454,0.0015,15
