label,stage,rank_ic,icir,gross_sharpe,gross_annu_ret,net_sharpe,net_annu_ret,mdd_net,daily_turnover,annu_one_way_turnover,implied_annu_fee,direction,n_days,rebalance_freq,top_frac,entry_frac,exit_frac,min_hold,weight_method,round_trip_cost
raw|daily_buffer_5_15,E4_combo,0.054483959715797725,6.107810234497161,1.8100745789263029,0.369136295600908,1.3776758945103904,0.28128091747809436,-0.2202292685224794,0.2342810083275043,29.285126040938035,0.04392768906140706,1,1455,1,0.1,0.05,0.15,1,ew,0.0015
raw|daily|buffer_5_15,E2_buffer,0.054483959715797725,6.107810234497161,1.8100745789263029,0.369136295600908,1.3776758945103904,0.28128091747809436,-0.2202292685224794,0.2342810083275043,29.285126040938035,0.04392768906140706,1,1455,1,0.1,0.05,0.15,1,ew,0.0015
raw|best_e1_buffer_5_15,E4_combo,0.04819055876284466,5.3690979499531775,1.6015074524500028,0.3269367068030317,1.2636210415982365,0.2582999724922812,-0.23624869638999482,0.18303129149533431,22.878911436916788,0.03431836715537519,1,1455,5,0.1,0.05,0.15,1,ew,0.0015
raw|best_e1|buffer_5_15,E2_buffer,0.04819055876284466,5.3690979499531775,1.6015074524500028,0.3269367068030317,1.2636210415982365,0.2582999724922812,-0.23624869638999482,0.18303129149533431,22.878911436916788,0.03431836715537519,1,1455,5,0.1,0.05,0.15,1,ew,0.0015
raw|daily|buffer_10_30,E2_buffer,0.054483959715797725,6.107810234497161,1.605561840215743,0.2730219211650854,1.2519518360987716,0.21314101964920085,-0.20066292223505347,0.159682404042358,19.96030050529475,0.029940450757942126,1,1455,1,0.1,0.1,0.3,1,ew,0.0015
raw|daily_buffer_10_20,E4_combo,0.054483959715797725,6.107810234497161,1.7128981649709714,0.2991546879964671,1.2425620323683397,0.21731444192816413,-0.20206616782744094,0.21824065618214136,27.28008202276767,0.040920123034151504,1,1455,1,0.1,0.1,0.2,1,ew,0.0015
raw|daily|buffer_10_20,E2_buffer,0.054483959715797725,6.107810234497161,1.7128981649709714,0.2991546879964671,1.2425620323683397,0.21731444192816413,-0.20206616782744094,0.21824065618214136,27.28008202276767,0.040920123034151504,1,1455,1,0.1,0.1,0.2,1,ew,0.0015
raw|best_e1|buffer_10_20,E2_buffer,0.04819055876284466,5.3690979499531775,1.5057479492030665,0.2636915885480548,1.136099372595681,0.1992361502104275,-0.22187315399070393,0.1718811689003389,21.48514611254236,0.03222771916881354,1,1455,5,0.1,0.1,0.2,1,ew,0.0015
raw|best_e1|buffer_10_30,E2_buffer,0.04819055876284466,5.3690979499531775,1.4107123939555901,0.2415730412849721,1.1332948026176437,0.19423891573906774,-0.2170651386552829,0.126224334789077,15.778041848634624,0.023667062772951934,1,1455,5,0.1,0.1,0.3,1,ew,0.0015
raw|best_e1|hold_1d,E2_hold,0.04819055876284466,5.3690979499531775,1.6426853981050593,0.3010076044590818,1.0927236774655138,0.20065141985614346,-0.2374708340132698,0.26761649227450324,33.452061534312904,0.05017809230146936,1,1455,5,0.1,,,1,ew,0.0015
raw|best_e1|hold_5d,E2_hold,0.04819055876284466,5.3690979499531775,1.6426853981050593,0.3010076044590818,1.0927236774655138,0.20065141985614346,-0.2374708340132698,0.26761649227450324,33.452061534312904,0.05017809230146936,1,1455,5,0.1,,,5,ew,0.0015
raw|best_e1_plain,E4_combo,0.04819055876284466,5.3690979499531775,1.6426853981050593,0.3010076044590818,1.0927236774655138,0.20065141985614346,-0.2374708340132698,0.26761649227450324,33.452061534312904,0.05017809230146936,1,1455,5,0.1,,,1,ew,0.0015
raw|every_5d,E1,0.04819055876284466,5.3690979499531775,1.6426853981050593,0.3010076044590818,1.0927236774655138,0.20065141985614346,-0.2374708340132698,0.26761649227450324,33.452061534312904,0.05017809230146936,1,1455,5,0.1,,,1,ew,0.0015
raw|weekly_friday,E1,0.04808596893712911,5.450860835033326,1.644078667001481,0.29695557922798965,1.078522115170498,0.19698262199874167,-0.21352197639649145,0.26659455261132786,33.32431907641598,0.04998647861462397,1,1455,friday,0.1,,,1,ew,0.0015
raw|best_e1|hold_10d,E2_hold,0.04819055876284466,5.3690979499531775,1.5835036352428553,0.27900597261079674,1.0781859105479226,0.19017320711379526,-0.22872656973734512,0.23688737465867107,29.610921832333883,0.04441638274850082,1,1455,5,0.1,,,10,ew,0.0015
raw|daily,E1,0.054483959715797725,6.107810234497161,1.813530501305099,0.3371505387242366,1.0107338553894152,0.18825408862258525,-0.217555131344495,0.3970572002710717,49.63215003388397,0.07444822505082595,1,1455,1,0.1,,,1,ew,0.0015
raw|every_10d,E1,0.04373866011964622,4.927756791998514,1.4369239269857992,0.25795893308337425,1.0040967493233455,0.1812719250036032,-0.21961060170988686,0.20449868821272318,25.562336026590398,0.038343504039885595,1,1455,10,0.1,,,1,ew,0.0015
raw|every_20d,E1,0.03820325024219765,4.32575963189049,1.1858971408932317,0.2055822225835215,0.8916669966655494,0.15477652227583893,-0.22497874544478774,0.13548186748715485,16.935233435894357,0.02540285015384153,1,1455,20,0.1,,,1,ew,0.0015
