factor_name,period,orthogonalize_vs,panel_spearman_corr,rank_ic_corr,n_days,residual_ic_mean,residual_icir,residual_ic_t,independence_verdict
volatility_60d,discovery,D1_rep,-0.730543175837903,-0.9030428300784824,502,-0.009932209119747003,-1.2394084769632199,-1.7562903554135696,redundant
volatility_60d,discovery,D4_rep,-0.061063546791292084,0.19634262363694746,502,-0.04068944823420101,-3.812313926314134,-5.40219814939433,independent
volatility_60d,discovery,D5_rep,0.40136408703865156,0.5569917789205562,502,-0.028150089623420416,-2.807507811845846,-3.9783485302395896,independent
volatility_60d,discovery,size,-0.0247644768412562,-0.030616019693407232,502,-0.042934500838879994,-4.035299869394136,-5.718177964365234,independent
volatility_60d,discovery,turnover,0.6046329897292126,0.839002515184651,502,-0.0216212153632397,-2.3108250870500653,-3.274529655774002,independent
volatility_60d,discovery,ret_1d,-0.036866715607533004,-0.3066612127737517,502,-0.045325335202024274,-4.385709094650096,-6.214721560930651,independent
volatility_60d,confirmation,D1_rep,-0.7860598872497876,-0.9662030844412969,949,-0.003823622892135074,-0.46895812060703096,-0.9136864040144876,redundant
volatility_60d,confirmation,D4_rep,-0.0620185054464082,0.10627972383331465,949,-0.04359194866033823,-3.3352258264804875,-6.498129274376652,independent
volatility_60d,confirmation,D5_rep,0.3874952108466814,0.6244892459053264,949,-0.029987204922068553,-2.4784187535042603,-4.8287841046449,independent
volatility_60d,confirmation,size,-0.2025931274889293,-0.5041242475582773,949,-0.05261920062731925,-4.53680951996995,-8.839213980630852,independent
volatility_60d,confirmation,turnover,0.5962475782569093,0.901884545144761,949,-0.022392986511647013,-1.907313361603174,-3.7160808398758767,independent
volatility_60d,confirmation,ret_1d,-0.04146469356407876,-0.12303362015636896,949,-0.0492390668378074,-3.95780991763124,-7.7111301681533275,independent
