factor_name,hypothesis,ic_raw,ic_after_d2,ic_after_ohlcv_stack,ic_ohlcv_stack_only,corr_rep,abs_corr_rep,ic_retention_after_d2,monotonicity_score,stack_enhancement_pass,ic_after_d4,ic_after_d5,ic_after_d3,ic_after_d1,corr_d4_rep,density_classification,period,source,family
volatility_60d,60d realized return std — D2 rep (low-vol anomaly),-0.044387927288613446,-0.005391642646482046,0.0226002262147291,0.02536418544784702,1.0,1.0,0.12146642061985016,,True,,,,,,redundant,discovery,pv,realized_vol
volatility_60d,60d realized return std — D2 rep (low-vol anomaly),-0.04868519493291262,-0.005280735387409964,0.023341128859262827,0.026830756967914114,1.0,1.0,0.10846696608048358,,True,,,,,,redundant,confirmation,pv,realized_vol
volatility_20d,20d realized vol — shorter risk horizon,-0.05017098797726493,-0.022100622984045203,-0.07969013748773092,-0.08062143242644161,0.7993464969144233,0.7993464969144233,0.44050603496307744,,True,,,,,,redundant,discovery,pv,realized_vol
volatility_20d,20d realized vol — shorter risk horizon,-0.056202256713312596,-0.025593707943821264,-0.07113985981695839,-0.07228290146822866,0.7900846050057081,0.7900846050057081,0.45538576990555074,,True,,,,,,redundant,confirmation,pv,realized_vol
volatility_level_20d,Negated 20d vol level — low-vol rank signal,0.05017098797726493,0.022100622984045203,0.07969013748773092,0.08062143242644161,-0.7993464969144233,0.7993464969144233,0.44050603496307744,,True,,,,,,redundant,discovery,eod_engine,realized_vol
volatility_level_20d,Negated 20d vol level — low-vol rank signal,0.056202256713312596,0.025593707943821264,0.07113985981695839,0.07228290146822866,-0.7900846050057081,0.7900846050057081,0.45538576990555074,,True,,,,,,redundant,confirmation,eod_engine,realized_vol
high_low_60d,60d average daily range — path volatility proxy,-0.04260163038101231,-0.010473442916759806,-0.012828085148206231,-0.012841563663761855,0.9168202262297384,0.9168202262297384,0.24584605854492964,,True,,,,,,redundant,discovery,pv,range_vol
high_low_60d,60d average daily range — path volatility proxy,-0.0504218393177837,-0.023158026710602773,-0.022535710529503636,-0.02181632388883134,0.9123521319703641,0.9123521319703641,0.4592856393962403,,True,,,,,,redundant,confirmation,pv,range_vol
high_low_20d,20d average daily range,-0.05201772279809766,-0.02800312795747847,-0.11116625197790739,-0.11269147567799648,0.8094436183655218,0.8094436183655218,0.5383382134233407,,True,,,,,,partial_independent,discovery,pv,range_vol
high_low_20d,20d average daily range,-0.0608841307206419,-0.038943796555761384,-0.1104677555592095,-0.11203745693642453,0.8031421199189461,0.8031421199189461,0.6396378842041682,,True,,,,,,partial_independent,confirmation,pv,range_vol
range_contraction_20d,Compressed range vs baseline — vol regime,0.0548094135227615,0.030113296019057847,0.0818870169681511,0.08264342923653879,-0.6554841718332711,0.6554841718332711,0.5494183222112432,,True,,,,,,independent_alpha,discovery,pv,range_vol
range_contraction_20d,Compressed range vs baseline — vol regime,0.05773511117865255,0.03027575360855961,0.07174037262189198,0.07161304343587,-0.6717692609443126,0.6717692609443126,0.5243906695680534,,True,,,,,,independent_alpha,confirmation,pv,range_vol
range_expansion_20d,Range expansion vs recent baseline,0.02630331015164761,0.028361857623095555,0.12468544015545088,0.12557228763066472,0.05050528542550706,0.05050528542550706,1.0782619168302283,,True,,,,,,independent_alpha,discovery,eod_engine,range_vol
range_expansion_20d,Range expansion vs recent baseline,0.03083896285584833,0.0333872998984658,0.11802924082971862,0.11949485114602001,0.06618712201423474,0.06618712201423474,1.0826336817657989,,True,,,,,,independent_alpha,confirmation,eod_engine,range_vol
return_stability_20d,Low return dispersion — stability / low-risk,0.0011773161471558624,0.0049357123033771655,0.01328127307381492,0.017124107562003464,-0.012307207072940848,0.012307207072940848,4.192342316293515,,False,,,,,,noise,discovery,eod_engine,stability
return_stability_20d,Low return dispersion — stability / low-risk,0.004038245678039726,0.004459501408951853,0.00575276338405386,0.0071073712131849934,-0.008733418528739757,0.008733418528739757,1.1043165187306325,,False,,,,,,noise,confirmation,eod_engine,stability
vol_liquidity_stress_20d,Amihud × vol interaction — illiquid high-vol stress,0.005414786429832286,-0.0151641989616546,0.0026781533784013645,0.00551436698646031,-0.07836777646449124,0.07836777646449124,2.8005165408018295,,True,,,,,,noise,discovery,eod_engine,vol_liquidity
vol_liquidity_stress_20d,Amihud × vol interaction — illiquid high-vol stress,9.416347191110978e-05,-0.03326316742236236,-0.008336181632741583,-0.01528647527600953,-0.2761971788710623,0.2761971788710623,353.24916071237,,True,,,,,,noise,confirmation,eod_engine,vol_liquidity
amount_to_volatility_20d,Liquidity per unit vol — vol-adjusted participation,-0.018767903152574858,-0.005159830948355454,-0.014325915310679926,-0.013447646657026571,0.2732264615885543,0.2732264615885543,0.2749284726380076,,False,,,,,,weak_incremental,discovery,pv,vol_liquidity
amount_to_volatility_20d,Liquidity per unit vol — vol-adjusted participation,-0.031938060003485494,-0.027354660285112402,-0.00902644560540611,-0.020397420489542503,0.05136952577631332,0.05136952577631332,0.8564909791680242,,True,,,,,,independent_alpha,confirmation,pv,vol_liquidity
volatility_regime_change_20d,Short vs long vol ratio — regime shift,-0.011177829232749195,-0.013493121672082548,-0.07589859384856978,-0.07696948942532326,-0.045184382583715425,0.045184382583715425,1.2071325649304006,,True,,,,,,weak_incremental,discovery,eod_engine,regime
volatility_regime_change_20d,Short vs long vol ratio — regime shift,-0.01816422555064874,-0.02147485691575245,-0.07084092184394472,-0.07244393353564886,-0.053930776960848616,0.053930776960848616,1.1822610799382784,,True,,,,,,independent_alpha,confirmation,eod_engine,regime
tail_adjusted_momentum_60d,Return per downside vol — tail-adjusted momentum,-0.028213157424527444,-0.01073274177907624,-0.08204309973069761,-0.08163397311331849,0.30213415608898797,0.30213415608898797,0.3804161872979734,,True,,,,,,weak_incremental,discovery,eod_engine,tail_adj
tail_adjusted_momentum_60d,Return per downside vol — tail-adjusted momentum,-0.033230023484797255,-0.017904897531440953,-0.06208999541261477,-0.06566762107042137,0.23754896704144496,0.23754896704144496,0.5388168786468793,,True,,,,,,independent_alpha,confirmation,eod_engine,tail_adj
