period,dim,lambda,rank_ic,icir,ic_positive_ratio,hl_sharpe,hl_annu_ret,monotonicity_score,universe_stability,sign_consistency,rank_ic_delta,icir_delta,hl_sharpe_delta,monotonicity_delta
discovery,D2,0.0,0.02630929763605573,5.714980246905662,0.6613545816733067,3.1789981702293924,0.33666715035804207,0.7777777777777778,,,-0.007888803520869313,-1.2988063240909362,-0.7578872347363697,-0.11111111111111105
discovery,D2,0.2,0.01435643977778247,4.141847234056575,0.603585657370518,2.5196267303648927,0.24217078806433479,0.6666666666666666,,,-0.019841661379142575,-2.871939336940023,-1.4172586746008693,-0.2222222222222222
discovery,D2,0.4,-0.005430744875936646,-0.9634061922974173,0.48406374501992033,0.7665400565271003,0.11247966756632204,0.5555555555555556,,,-0.03962884603286169,-7.977192763294015,-3.1703453484386617,-0.33333333333333326
discovery,D2,0.6,-0.026137711592359534,-2.7912203666378974,0.42828685258964144,0.3284344009101964,0.06449219506070004,0.3333333333333333,,,-0.06033581274928458,-9.805006937634495,-3.6084510040555657,-0.5555555555555556
discovery,D2,0.8,-0.037888224720327254,-3.543085439009161,0.40039840637450197,0.8713384456876623,0.1916167064740875,0.3333333333333333,,,-0.0720863258772523,-10.556872010005758,-3.0655469592781,-0.5555555555555556
discovery,D2,1.0,-0.04388046912925169,-4.087309966295553,0.38247011952191234,1.3689923663012167,0.3055991153473766,0.2222222222222222,,,-0.07807857028617674,-11.10109653729215,-2.567893038664545,-0.6666666666666666
confirmation,D2,0.0,0.03153049813919108,4.904967824181974,0.6290832455216017,2.9242487852034,0.36167370907818736,0.5555555555555556,,,-0.00678423805883778,-0.7799913854193736,-0.8370264104293419,-0.4444444444444444
confirmation,D2,0.2,0.020711574181476834,4.586263708756443,0.6143308746048473,3.251039532884769,0.31392788531575755,0.6666666666666666,,,-0.017603162016552026,-1.0986955008449053,-0.5102356627479727,-0.33333333333333337
confirmation,D2,0.4,-0.0002538226729176834,-0.04303365608967977,0.4952581664910432,1.4386391827219238,0.20621894403063937,0.6666666666666666,,,-0.03856855887094654,-5.727992865691028,-2.3226360129108183,-0.33333333333333337
confirmation,D2,0.6,-0.025950685235497973,-2.327048563947591,0.44362486828240255,0.22588906662774205,0.05053843169322371,0.5555555555555556,,,-0.06426542143352683,-8.01200777354894,-3.535386129005,-0.4444444444444444
confirmation,D2,0.8,-0.04122021655772478,-3.1383105453842215,0.4246575342465753,0.3444763741992293,0.08992222192981371,0.3333333333333333,,,-0.07953495275575365,-8.823269754985569,-3.4167988214335128,-0.6666666666666667
confirmation,D2,1.0,-0.04827130897240172,-3.665985040290253,0.410958904109589,0.8185001175666244,0.21708796208280504,0.2222222222222222,,,-0.08658604517043059,-9.350944249891601,-2.9427750780661173,-0.7777777777777778
