factor_name,period,orthogonalize_vs,panel_spearman_corr,rank_ic_corr,n_days,residual_ic_mean,residual_icir,residual_ic_t,independence_verdict
lower_shadow_support_20d,discovery,D1_rep,-0.6299967292163647,-0.8919195457350702,502,-0.022819223820655616,-2.903034469347603,-4.113713545384802,independent
lower_shadow_support_20d,discovery,D4_rep,-0.19944097599186178,-0.08480094567339094,502,-0.04461506439710191,-4.283874143864016,-6.070417447126436,independent
lower_shadow_support_20d,discovery,D5_rep,0.4368428210872564,0.6943940595110697,502,-0.03247091875402614,-3.468199259210569,-4.914574188268012,independent
lower_shadow_support_20d,discovery,size,0.0222058495533192,0.08491113158598174,502,-0.04913601289617729,-4.6897648899897915,-6.645580531793213,independent
lower_shadow_support_20d,discovery,turnover,0.6053997284104814,0.8708610767158741,502,-0.028260613382897908,-3.1706741059248076,-4.49296939297966,independent
lower_shadow_support_20d,discovery,ret_1d,0.012068044717163887,-0.20248659396869625,502,-0.05001504041774566,-4.935069000642606,-6.993186064344067,independent
lower_shadow_support_20d,confirmation,D1_rep,-0.6872547518966897,-0.9311241749379239,949,-0.02615367497130359,-3.8321032823893484,-7.466211830101623,independent
lower_shadow_support_20d,confirmation,D4_rep,-0.19490580333795132,-0.06294829037498544,949,-0.05189610895150656,-4.542042287789236,-8.84940915286853,independent
lower_shadow_support_20d,confirmation,D5_rep,0.4162959866113238,0.6597696469700819,949,-0.0397973957916036,-3.9216430896386947,-7.640665157396409,independent
lower_shadow_support_20d,confirmation,size,-0.16715683858864314,-0.4407648667566607,949,-0.06282389491449435,-6.091652211243393,-11.868564715743256,independent
lower_shadow_support_20d,confirmation,turnover,0.6094712530487711,0.8995708151496533,949,-0.03207331144219774,-3.411007479325141,-6.645777140647266,independent
lower_shadow_support_20d,confirmation,ret_1d,0.0036812922010339595,-0.06155776263321047,949,-0.05869543916453228,-5.366364312514586,-10.455462643415451,independent
