factor_name,hypothesis,ic_raw,ic_after_d3,ic_after_ohlcv_stack,ic_ohlcv_stack_only,corr_rep,abs_corr_rep,ic_retention_after_d3,monotonicity_score,stack_enhancement_pass,ic_after_d4,ic_after_d5,ic_after_d2,ic_after_d1,corr_d4_rep,density_classification,period,source,family
lower_shadow_support_20d,Lower shadow strength — intraday dip absorption (D3 rep),-0.053289332952584006,-0.005547924871161131,-0.40552852775969384,-0.40995596510995747,1.0,1.0,0.1041094824004944,,True,,,,,,redundant,discovery,pv,shadow_support
lower_shadow_support_20d,Lower shadow strength — intraday dip absorption (D3 rep),-0.06298358703894252,0.008185321137114265,-0.3945603037427873,-0.40118475694987843,1.0,1.0,0.1299595898222391,,True,,,,,,redundant,confirmation,pv,shadow_support
upper_shadow_pressure_20d,Upper shadow dominance — rejection / supply pressure,0.04440673862169806,0.00574658061008019,0.003366005564258206,0.004321672397355166,-0.7748627911964925,0.7748627911964925,0.1294078508902766,,True,,,,,,redundant,discovery,pv,shadow_pressure
upper_shadow_pressure_20d,Upper shadow dominance — rejection / supply pressure,0.050638987991234924,0.0010174513792312997,0.011671980663165743,0.012465687359481463,-0.769261248883578,0.769261248883578,0.020092253411687647,,True,,,,,,redundant,confirmation,pv,shadow_pressure
range_contraction_20d,Compressed candle range — path consolidation,0.0548094135227615,0.015722292050208423,0.0818870169681511,0.08264342923653879,-0.7932940699680743,0.7932940699680743,0.28685386395676715,,True,,,,,,redundant,discovery,pv,path_range
range_contraction_20d,Compressed candle range — path consolidation,0.05773511117865255,0.004181174648645919,0.07174037262189198,0.07161304343587,-0.7978260956469285,0.7978260956469285,0.07241996357654717,,True,,,,,,redundant,confirmation,pv,path_range
range_expansion_20d,Range expansion — volatile path breakout,0.02630331015164761,0.025612298384197603,0.12468544015545088,0.12557228763066472,0.009901732566880386,0.009901732566880386,0.9737290947996246,,True,,,,,,independent_alpha,discovery,eod_engine,path_range
range_expansion_20d,Range expansion — volatile path breakout,0.03083896285584833,0.030064046525702166,0.11802924082971862,0.11949485114602001,0.03990926785947397,0.03990926785947397,0.974872166299224,,True,,,,,,independent_alpha,confirmation,eod_engine,path_range
high_low_20d,Daily range level — path amplitude,-0.05201772279809766,-0.004708779113212228,-0.11116625197790739,-0.11269147567799648,0.944007479102352,0.944007479102352,0.09052259229972354,,True,,,,,,redundant,discovery,pv,path_range
high_low_20d,Daily range level — path amplitude,-0.0608841307206419,0.00033729338530690017,-0.1104677555592095,-0.11203745693642453,0.9343038758372036,0.9343038758372036,0.005539922822492489,,True,,,,,,redundant,confirmation,pv,path_range
drawup_drawdown_ratio_20d,Cumulative gain vs loss path asymmetry,-0.019818836597421313,-0.0062264704850126685,-0.09686985389150515,-0.09683353432774716,0.4223984892514742,0.4223984892514742,0.3141693234315688,,False,,,,,,weak_incremental,discovery,eod_engine,path_asymmetry
drawup_drawdown_ratio_20d,Cumulative gain vs loss path asymmetry,-0.03637880989252875,-0.01821952331045564,-0.08221312297276703,-0.0833723703539092,0.40508498978646185,0.40508498978646185,0.5008279095517485,,True,,,,,,independent_alpha,confirmation,eod_engine,path_asymmetry
return_stability_20d,Return stability — smooth path vs noisy,0.0011773161471558624,-0.0016871190457370012,0.01328127307381492,0.017124107562003464,-0.14042907471462424,0.14042907471462424,1.4330212405671243,,False,,,,,,noise,discovery,eod_engine,path_stability
return_stability_20d,Return stability — smooth path vs noisy,0.004038245678039726,-0.0011443428165039031,0.00575276338405386,0.0071073712131849934,-0.08263797613810003,0.08263797613810003,0.2833762251580984,,False,,,,,,noise,confirmation,eod_engine,path_stability
volume_price_efficiency_20d,Price move per unit volume — path efficiency,-0.02434499576839783,0.00574336988289761,-0.14891111458693604,-0.14760829404097686,0.42565653180626783,0.42565653180626783,0.23591582999382002,,True,,,,,,enhancer,discovery,pv,path_efficiency
volume_price_efficiency_20d,Price move per unit volume — path efficiency,-0.04042733029536608,-0.007582994953769872,-0.13889372159026234,-0.13896105991323696,0.38386936921309983,0.38386936921309983,0.1875710045251012,,True,,,,,,weak_incremental,confirmation,pv,path_efficiency
