factor_name,hypothesis,ic_raw,ic_after_d5,ic_after_ohlcv_stack,ic_ohlcv_stack_only,corr_rep,abs_corr_rep,ic_retention_after_d5,monotonicity_score,stack_enhancement_pass,ic_after_d4,corr_d4_rep,density_classification,source,family,hl_sharpe_all
max_daily_return_20d,Lottery reversal: max daily return in 20d,0.054194119919039975,0.038840179175728365,0.07342195430164761,0.0761407977485116,-0.4123993839870708,0.4123993839870708,0.7166862241466657,,True,,,independent_alpha,eod_engine,lottery_reversal,
high_low_20d,Daily range (high-low) level — range expansion proxy,-0.055438459800441806,-0.037422115961503764,-0.10923682373241853,-0.11027891890794093,0.4277121495377353,0.4277121495377353,0.6750208446664951,,True,,,independent_alpha,pv,path_tail,
range_contraction_20d,Range contraction — compressed tail state,0.05406392535713929,0.03667077143780529,0.07070402440805576,0.07004037648060737,-0.39061394748118944,0.39061394748118944,0.6782854037246264,,True,,,independent_alpha,pv,path_tail,
upper_shadow_pressure_20d,Upper shadow dominance — rejection tail,0.04571597011246551,0.029437986545016052,0.011046619751446071,0.01150185601834358,-0.38175090598843586,0.38175090598843586,0.6439322292099651,,True,,,independent_alpha,pv,path_tail,
high_low_60d,60d average range — sustained path instability,-0.04365181340848997,-0.02786136526166351,-0.01867151340306785,-0.017518137014775653,0.3852310378202446,0.3852310378202446,0.6382636386932936,,False,,,independent_alpha,pv,path_tail,
tail_adjusted_momentum_60d,Return per unit downside volatility — tail-adjusted momentum,-0.03815912829808603,-0.02059222711569218,-0.06482023489241069,-0.06900069262979944,0.19166295807467054,0.19166295807467054,0.5396409203803808,,True,,,independent_alpha,eod_engine,downside_tail,
drawup_drawdown_ratio_20d,Cumulative gain vs loss path asymmetry,-0.040216995626151546,-0.017210061454409717,-0.0809644794216074,-0.08366201499179432,0.18201282820483017,0.18201282820483017,0.42793006256336774,,False,,,partial_independent,eod_engine,path_tail,
range_expansion_20d,Range expansion vs recent baseline,0.033827424710282675,0.015409205134679593,0.11899447408523788,0.12171181867049867,-0.25150447824276956,0.25150447824276956,0.45552403904975913,,True,,,partial_independent,eod_engine,path_tail,
tail_risk_min_return_20d,Worst daily return in 20d — left tail exposure,0.031914646252789856,0.014887010109903238,-0.01629243840542032,-0.018118629296882984,-0.3201495928814078,0.3201495928814078,0.4664632655485527,,True,,,weak_incremental,eod_engine,downside_tail,
asymmetric_tail_ratio_20d,Downside/upside semivariance ratio,0.04505654920913666,0.013465787054903474,0.06789776736846492,0.07251702228027443,-0.18466005438809505,0.18466005438809505,0.2988641449747966,,True,,,weak_incremental,eod_engine,downside_tail,
downside_tail_cluster_20d,Count of large negative return days — tail clustering,0.011972011622223432,0.011598115305363256,0.00588378610942276,0.004314596955465137,0.019433983071100485,0.019433983071100485,0.9687691318169022,,True,,,weak_incremental,eod_engine,downside_tail,
return_skew_shift_20d,Short vs long window skew shift,0.004252899053769797,0.007000152645771182,-0.004067891463322283,-0.003912609239334954,0.013713496957527506,0.013713496957527506,1.645971972827853,,True,,,noise,eod_engine,skew_regime,
cn_amount_distribution_skew_20d,Flow distribution skew,-0.0063326672692464725,0.0008493237004865859,-0.017726568212603183,-0.016228071669041857,0.050378998702944794,0.050378998702944794,0.13411784708967464,,True,,,noise,cn_broker,flow_tail,
upside_fragility_20d,Fragile rally: upside peak vs baseline (D5 rep),-0.04745822465907873,-0.00035014965671269736,-0.0854497763684725,-0.08848300693348109,1.0,1.0,0.007378060583345356,,True,,,redundant,eod_engine,fragile_rally,
