,rank_ic
2010-01-29,0.01090870288671555
2010-02-26,-0.051277625284084534
2010-03-31,-0.09248458927737556
2010-04-30,0.11093244127942069
2010-05-31,-0.000598272925979224
2010-06-30,-0.10874522599943917
2010-07-30,-0.1403008775194757
2010-08-31,-0.06505685490164709
2010-09-30,-0.016817484048746684
2010-10-29,-0.3234848170288842
2010-11-30,-0.06968036853799402
2010-12-31,-0.03008438019099649
2011-01-31,-0.08899743617833666
2011-02-28,0.1287932345812757
2011-03-31,0.03845705285202277
2011-04-29,-0.04273330622192939
2011-05-31,-0.10023381974529041
2011-06-30,-0.10484221919259884
2011-07-29,-0.023287713369414098
2011-08-31,-0.06418144855815848
2011-09-30,-0.03481178409250918
2011-10-31,-0.12297641307139284
2011-11-30,-0.11112961331283422
2011-12-30,-0.11138684079362858
2012-01-31,-0.18429017271168724
2012-02-29,-0.06137183043878481
2012-03-30,-0.12458772063847602
2012-04-27,-0.13585089729386224
2012-05-31,-0.08068073540690565
2012-06-29,-0.085291814577734
2012-07-31,-0.14403454599251417
2012-08-31,-0.15021677147083146
2012-09-28,-0.14221899126687293
2012-10-31,-0.02894329834127964
2012-11-30,-0.09392648184084681
2012-12-31,-0.18951915955722828
2013-01-31,-0.019350527838277967
2013-02-28,-0.07511954249645389
2013-03-29,-0.1581283683347305
2013-04-26,0.0183554026759442
2013-05-31,0.015298142704259825
2013-06-28,0.022829683308251136
2013-07-31,-0.1059027611175897
2013-08-30,-0.14260432207993998
2013-09-30,-0.056749537103786205
2013-10-31,-0.09458142324476419
2013-11-29,-0.15585336402963648
2013-12-31,0.08979208734531317
2014-01-30,-0.04886506547735805
2014-02-28,-0.0673065471696066
2014-03-31,-0.09698188062809131
2014-04-30,-0.13340962387495833
2014-05-30,-0.1579144240347675
2014-06-30,-0.08411101418912781
2014-07-31,-0.1816680753389871
2014-08-29,-0.02527260314998975
2014-09-30,-0.049111141626560016
2014-10-31,-0.03870427794477362
2014-11-28,0.1076439785377909
2014-12-31,-0.11936790707865956
2015-01-30,-0.054201301476256354
2015-02-27,-0.08839072710790237
2015-03-31,-0.07376433388437832
2015-04-30,-0.14505968621440932
2015-05-29,-0.1349885806415799
2015-06-30,-0.10222979724933248
2015-07-31,-0.033539927484028786
2015-08-31,-0.12472395569912416
2015-09-30,-0.1545375364381077
2015-10-30,-0.09041650573982958
2015-11-30,-0.17731841604614426
2015-12-31,-0.05022495611241225
2016-01-29,0.052907455423309824
2016-02-29,-0.28384090740373413
2016-03-31,-0.10242389563912088
2016-04-29,-0.08489967388236459
2016-05-31,0.005062251192752399
2016-06-30,-0.1602334454406274
2016-07-29,-0.13869331533279528
2016-08-31,-0.10710472693933908
2016-09-30,-0.07815845639964399
2016-10-31,-0.0674103921180328
2016-11-30,-0.11057582540694995
2016-12-30,0.04229219640438305
2017-01-26,-0.06097703191042813
2017-02-28,-0.07490717813225466
2017-03-31,0.03601078772828872
2017-04-28,-0.00728459303732742
2017-05-31,-0.137721975353927
2017-06-30,-0.05324369427026755
2017-07-31,-0.20287890507927517
2017-08-31,-0.07721089920843056
2017-09-29,-0.25543210015474066
2017-10-31,-0.10822338735397126
2017-11-30,-0.0626639660148105
2017-12-29,0.009127960030920961
2018-01-31,-0.15766760702979873
2018-02-28,-0.1940095061263455
2018-03-30,-0.11652431601571218
2018-04-27,-0.06865693158959185
2018-05-31,-0.08061095158709247
2018-06-29,-0.12506042930933212
2018-07-31,-0.03962469847920968
2018-08-31,-0.01469759823432257
2018-09-28,-0.018599289546857627
2018-10-31,-0.19556952601445232
2018-11-30,-0.09415356553388368
2018-12-28,-0.1359126136231254
2019-01-31,-0.019035165152988927
2019-02-28,-0.07712432398181278
2019-03-29,-0.1818972934311848
2019-04-30,-0.14053843738989377
2019-05-31,-0.07353542694308161
2019-06-28,-0.11203420853983037
2019-07-31,-0.028957660736973086
2019-08-30,-0.15003861925344902
2019-09-30,-0.08951077275944253
2019-10-31,-0.03897387806738492
2019-11-29,-0.005425222015506073
2019-12-31,-0.05737331163597585
2020-01-23,0.04677141879918319
2020-02-28,-0.14199301162559042
2020-03-31,-0.10672016449987676
2020-04-30,-0.08336810653915071
2020-05-29,-0.08428061824093248
2020-06-30,-0.03161740015898286
2020-07-31,-0.1423909891166018
2020-08-31,0.01853327292950782
2020-09-30,0.038524387719277686
2020-10-30,-0.09899463748184271
2020-11-30,-0.07443957686136989
2020-12-31,-0.09146328042128676
2021-01-29,-0.10407631072717133
2021-02-26,-0.053930468284118606
2021-03-31,-0.10481165524759316
2021-04-30,0.10116840461066463
2021-05-31,-0.08463347517650315
2021-06-30,-0.010128799263928397
2021-07-30,-0.07944995452446492
2021-08-31,-0.11213704128226545
2021-09-30,-0.048332077058987066
2021-10-29,-0.062231149976750784
2021-11-30,-0.11581449893115961
2021-12-31,-0.08639023427483698
2022-01-28,-0.04358385764647086
2022-02-28,-0.07807820761043545
2022-03-31,-0.09023307305720134
2022-04-29,-0.1334277783647087
2022-05-31,-0.103757100056143
2022-06-30,-0.07136720917282682
2022-07-29,-0.10489425610162866
2022-08-31,-0.02889316557453905
2022-09-30,-0.058228295991996304
2022-10-31,-0.05553951297524729
2022-11-30,-0.06337984435545724
2022-12-30,-0.1021522062700483
2023-01-31,-0.09551835266857522
2023-02-28,-0.07058335218797139
2023-03-31,0.03640375905404453
2023-04-28,-0.044760766268339226
2023-05-31,-0.07153055590179033
2023-06-30,-0.1614669363198421
2023-07-31,-0.057522887813366584
2023-08-31,-0.08469293660771797
2023-09-28,-0.026858253792059528
2023-10-31,-0.13159826682507622
2023-11-30,-0.05266340733256108
2023-12-29,-0.06455547000380066
2024-01-31,0.1364600402197694
2024-02-29,-0.07977399273032354
2024-03-29,-0.09189312932174114
2024-04-30,-0.016280200645033837
2024-05-31,0.024443629683256304
2024-06-28,-0.0961863073674012
2024-07-31,-0.09721476970608822
2024-08-30,0.009005511268212309
2024-09-30,0.012052033619560563
2024-10-31,-0.11029560935367265
2024-11-29,-0.10307354382740537
2024-12-31,-0.06415419074366123
2025-01-27,-0.0193645390696982
2025-02-28,-0.13910065466084223
2025-03-31,-0.09848382616871716
2025-04-30,-0.0133191850534054
2025-05-30,-0.09796795665739101
2025-06-30,-0.14097821602567262
2025-07-31,-0.05463062208828638
2025-08-29,-0.07715060004042545
2025-09-30,-0.1633115017684563
2025-10-31,-0.06806551640398065
2025-11-28,-0.027026589050908708
