year,n,rank_ic,icir
2010,241,-0.020653442492578677,-3.2822112049815155
2011,244,-0.02033251834673789,-4.3381502435945976
2012,243,-0.03373924863909372,-6.028016895846352
2013,238,-0.032458451827003285,-6.35550944561497
2014,245,-0.031198814581739166,-5.761187527657747
2015,244,-0.04638053938033717,-8.421239940207869
2016,244,-0.04092075732182014,-8.061104595580577
2017,244,-0.03173122750395378,-5.857324704314185
2018,243,-0.04072189820581301,-8.656041711740453
2019,244,-0.054743097251749445,-12.065401550779447
2020,243,-0.033085250129355294,-8.110807861708112
2021,243,-0.03452548881240779,-9.21206901164893
2022,242,-0.04247429495265077,-12.994666780160752
2023,242,-0.04166338376749441,-11.601733490974597
2024,242,-0.043664044511495546,-7.319118673618524
2025,243,-0.05684424746666789,-12.981530301986348
