year,n,rank_ic,icir
2010,241,-0.015265552728932095,-2.3597400067465415
2011,244,-0.016440626426802225,-3.0314431261757924
2012,243,-0.021613995521370048,-3.6973763522745697
2013,238,-0.03468157579091376,-6.026837426576425
2014,245,-0.020950556494698826,-3.3780011928301414
2015,244,-0.01083353645919824,-1.234588749792877
2016,244,-0.03599029234997583,-5.958732678767345
2017,244,-0.02581647055043255,-4.176832502302786
2018,224,-0.03346146972597869,-6.5637009301143525
2019,244,-0.040625911682932794,-8.943155566866935
2020,243,-0.022919074302296224,-4.867477555344372
2021,243,-0.029456930783501475,-5.434293417620923
2022,242,-0.029331707792002348,-6.6983663511640765
2023,242,-0.04347749576203933,-9.164986107347934
2024,242,-0.025122343767415567,-3.7116968532752663
2025,243,-0.04489337092112757,-8.276742728103057
