knife,family,vs_knife,vs_family,raw_ic,raw_icir,abs_corr,residual_ic,residual_ic_t,residual_icir
amount,participation,volume,participation,-0.0363209336666336,-6.335633043961068,0.9180422165158866,-0.0205250042538318,-16.98536422262193,-6.12906537888413
amount,participation,turnover_proxy,participation,-0.0363209336666336,-6.335633043961068,0.929,-0.0206520517882732,-16.440430818695347,-5.932429474229486
amount,participation,ats_trade_count,trader_structure,-0.0363209336666336,-6.335633043961068,0.367,-0.0257487399368977,-13.790517373074533,-5.2853139073156905
volume,participation,amount,participation,-0.036574235244476,-6.247075260995257,0.9180422165158866,-0.0219549629952822,-16.069126598916107,-5.798446604703993
volume,participation,turnover_proxy,participation,-0.036574235244476,-6.247075260995257,0.949,-0.0296042979445615,-16.682392394473148,-6.019739837297523
volume,participation,ats_trade_count,trader_structure,-0.036574235244476,-6.247075260995257,0.354,-0.0263782846919343,-13.604666795871225,-5.214085351214296
turnover_proxy,participation,amount,participation,-0.0355979653442024,-6.198051667853001,0.929,-0.0197498750892579,-15.29924836543791,-5.5206407263653245
turnover_proxy,participation,volume,participation,-0.0355979653442024,-6.198051667853001,0.949,-0.0272030928107664,-16.48975839978097,-5.950229031865898
turnover_proxy,participation,ats_trade_count,trader_structure,-0.0355979653442024,-6.198051667853001,0.382,-0.0251320483419489,-13.18555065356375,-5.053456107525207
ats_trade_count,trader_structure,amount,participation,-0.0337956443430201,-6.483878973616674,0.367,-0.0220035378629542,-14.845850863308543,-5.68977797649414
ats_trade_count,trader_structure,volume,participation,-0.0337956443430201,-6.483878973616674,0.354,-0.022472291908768,-14.931871875384232,-5.722746141440053
ats_trade_count,trader_structure,turnover_proxy,participation,-0.0337956443430201,-6.483878973616674,0.382,-0.0232087475765666,-15.037166871681023,-5.763101197979467
