Date,ret
2018-01-02,-0.0
2018-01-03,-0.0
2018-01-04,-0.0
2018-01-05,-0.0
2018-01-08,-0.0
2018-01-09,-0.0
2018-01-10,-0.0
2018-01-11,-0.0
2018-01-12,-0.0
2018-01-15,-0.0
2018-01-16,-0.0
2018-01-17,-0.0
2018-01-18,-0.0
2018-01-19,-0.0
2018-01-22,-0.0
2018-01-23,-0.0
2018-01-24,-0.0
2018-01-25,-0.0
2018-01-26,-0.0
2018-01-29,-0.0
2018-01-30,-0.0
2018-01-31,-0.0
2018-02-01,-0.0
2018-02-02,-0.0
2018-02-05,-0.0
2018-02-06,-0.0
2018-02-07,-0.0
2018-02-08,-0.0
2018-02-09,-0.0
2018-02-12,-0.0
2018-02-13,-0.0
2018-02-14,-0.0
2018-02-22,-0.0
2018-02-23,-0.0
2018-02-26,-0.0
2018-02-27,-0.0
2018-02-28,-0.0
2018-03-01,-0.0
2018-03-02,-0.0
2018-03-05,-0.0
2018-03-06,-0.0
2018-03-07,-0.0
2018-03-08,-0.0
2018-03-09,-0.0
2018-03-12,-0.0
2018-03-13,-0.0
2018-03-14,-0.0
2018-03-15,-0.0
2018-03-16,-0.0
2018-03-19,-0.0
2018-03-20,-0.0
2018-03-21,-0.0
2018-03-22,-0.0
2018-03-23,-0.0
2018-03-26,-0.0
2018-03-27,-0.0
2018-03-28,-0.0
2018-03-29,-0.0
2018-03-30,-0.0
2018-04-02,-0.0
2018-04-03,-0.0
2018-04-04,-0.0
2018-04-09,-0.0
2018-04-10,-0.0
2018-04-11,-0.0
2018-04-12,-0.0
2018-04-13,-0.0
2018-04-16,-0.0
2018-04-17,-0.0
2018-04-18,-0.0
2018-04-19,-0.0
2018-04-20,-0.0
2018-04-23,-0.0
2018-04-24,-0.0
2018-04-25,-0.0
2018-04-26,-0.0
2018-04-27,-0.0
2018-05-02,-0.0
2018-05-03,-0.0
2018-05-04,-0.0
2018-05-07,-0.0
2018-05-08,-0.0
2018-05-09,-0.0
2018-05-10,-0.0
2018-05-11,-0.0
2018-05-14,-0.0
2018-05-15,-0.0
2018-05-16,-0.0
2018-05-17,-0.0
2018-05-18,-0.0
2018-05-21,-0.0
2018-05-22,-0.0
2018-05-23,-0.0
2018-05-24,-0.0
2018-05-25,-0.0
2018-05-28,-0.0
2018-05-29,-0.0
2018-05-30,-0.0
2018-05-31,-0.0
2018-06-01,-0.0
2018-06-04,-0.0
2018-06-05,-0.0
2018-06-06,-0.0
2018-06-07,-0.0
2018-06-08,-0.0
2018-06-11,-0.0
2018-06-12,-0.0
2018-06-13,-0.0
2018-06-14,-0.0
2018-06-15,-0.0
2018-06-19,-0.0
2018-06-20,-0.0
2018-06-21,-0.0
2018-06-22,-0.0
2018-06-25,-0.0
2018-06-26,-0.0
2018-06-27,-0.0
2018-06-28,-0.0
2018-06-29,-0.0
2018-07-02,-0.0
2018-07-03,-0.0
2018-07-04,-0.0
2018-07-05,-0.0
2018-07-06,-0.0
2018-07-09,-0.0
2018-07-10,-0.0
2018-07-11,-0.0
2018-07-12,-0.0
2018-07-13,-0.0
2018-07-16,-0.0
2018-07-17,-0.0
2018-07-18,-0.0
2018-07-19,-0.0
2018-07-20,-0.0
2018-07-23,-0.0
2018-07-24,-0.0
2018-07-25,-0.0
2018-07-26,-0.0
2018-07-27,-0.0
2018-07-30,-0.0
2018-07-31,-0.0
2018-08-01,-0.0
2018-08-02,-0.0
2018-08-03,-0.0
2018-08-06,-0.0
2018-08-07,-0.0
2018-08-08,-0.0
2018-08-09,-0.0
2018-08-10,-0.0
2018-08-13,-0.0
2018-08-14,-0.0
2018-08-15,-0.0
2018-08-16,-0.0
2018-08-17,-0.0
2018-08-20,-0.0
2018-08-21,-0.0
2018-08-22,-0.0
2018-08-23,-0.0
2018-08-24,-0.0
2018-08-27,-0.0
2018-08-28,-0.0
2018-08-29,-0.0
2018-08-30,-0.0
2018-08-31,-0.0
2018-09-03,-0.0
2018-09-04,-0.0
2018-09-05,-0.0
2018-09-06,-0.0
2018-09-07,-0.0
2018-09-10,-0.0
2018-09-11,-0.0
2018-09-12,-0.0
2018-09-13,-0.0
2018-09-14,-0.0
2018-09-17,-0.0
2018-09-18,-0.0
2018-09-19,-0.0
2018-09-20,-0.0
2018-09-21,-0.0
2018-09-25,-0.0
2018-09-26,-0.0
2018-09-27,-0.0
2018-09-28,-0.0
2018-10-08,-0.0
2018-10-09,-0.0
2018-10-10,-0.0
2018-10-11,-0.0
2018-10-12,-0.0
2018-10-15,-0.0
2018-10-16,-0.0
2018-10-17,-0.0
2018-10-18,-0.0
2018-10-19,-0.0
2018-10-22,-0.0
2018-10-23,-0.0
2018-10-24,-0.0
2018-10-25,-0.0
2018-10-26,-0.0
2018-10-29,-0.0
2018-10-30,-0.0
2018-10-31,-0.0
2018-11-01,-0.0
2018-11-02,-0.0
2018-11-05,-0.0
2018-11-06,-0.0
2018-11-07,-0.0
2018-11-08,-0.0
2018-11-09,-0.0
2018-11-12,-0.0
2018-11-13,-0.0
2018-11-14,-0.0
2018-11-15,-0.0
2018-11-16,-0.0
2018-11-19,-0.0
2018-11-20,-0.0
2018-11-21,-0.0
2018-11-22,-0.0
2018-11-23,-0.0
2018-11-26,-0.0
2018-11-27,-0.0
2018-11-28,-0.0
2018-11-29,-0.0
2018-11-30,-0.0
2018-12-03,-0.0
2018-12-04,-0.0
2018-12-05,-0.0
2018-12-06,-0.0
2018-12-07,-0.0
2018-12-10,-0.0
2018-12-11,-0.0
2018-12-12,-0.0
2018-12-13,-0.0
2018-12-14,-0.0
2018-12-17,-0.0
2018-12-18,-0.0
2018-12-19,-0.0
2018-12-20,-0.0
2018-12-21,-0.0
2018-12-24,-0.0
2018-12-25,-0.003996592680217515
2018-12-26,0.007134968347347531
2018-12-27,0.0071705581281500015
2018-12-28,0.006943702745859926
2019-01-02,-0.011455831981172095
2019-01-03,0.015097643191536423
2019-01-04,0.004226422646810186
2019-01-07,-0.002258477520355427
2019-01-08,0.004569564138200098
2019-01-09,0.00266682098199822
2019-01-10,0.00031879315137295795
2019-01-11,0.0031676680228398535
2019-01-14,-0.0031377401335131757
2019-01-15,0.008727887172415582
2019-01-16,0.010687071962145474
2019-01-17,-0.004233976843685312
2019-01-18,0.014825001177907415
2019-01-21,0.0014318434347674915
2019-01-22,0.00011026889565444835
2019-01-23,-0.0022130094346235023
2019-01-24,0.004556876693337507
2019-01-25,0.012139614446937078
2019-01-28,0.004000335026109246
2019-01-29,0.006103209189743122
2019-01-30,0.008255443986515615
2019-01-31,0.008537277207675997
2019-02-01,-0.005153106416142653
2019-02-11,-0.0073365664203947495
2019-02-12,0.001577087747535122
2019-02-13,0.0043116871696354045
2019-02-14,-0.0020365704885204955
2019-02-15,0.004957613829254234
2019-02-18,-0.00605630058689343
2019-02-19,0.006708090523253536
2019-02-20,0.005456235726407913
2019-02-21,0.0013494256248079047
2019-02-22,-0.005925936233261712
2019-02-25,-0.007794406145738883
2019-02-26,0.015459536881965422
2019-02-27,0.007842555408674111
2019-02-28,0.018168310257636773
2019-03-01,-0.008729431821209065
2019-03-04,-0.006651719099597667
2019-03-05,-0.0005592506565856789
2019-03-06,0.0024665949010732706
2019-03-07,0.004890220631835649
2019-03-08,0.0062184450095235655
2019-03-11,0.00517417676205266
2019-03-12,-0.0037013391835255503
2019-03-13,0.025366663398767197
2019-03-14,0.010911938706650602
2019-03-15,0.006015700988591659
2019-03-18,0.004483471705749427
2019-03-19,0.001818908214804695
2019-03-20,0.0018394466243410925
2019-03-21,-0.001048737450410427
2019-03-22,0.008136317386556749
2019-03-25,0.011202971717488177
2019-03-26,0.004609792595803568
2019-03-27,0.003345426089353569
2019-03-28,0.013040486423733226
2019-03-29,-0.0034364479011653563
2019-04-01,-0.005707234568531019
2019-04-02,-0.0005200733612057418
2019-04-03,0.008637180783965633
