Date,ret
2018-01-02,-0.0
2018-01-03,-0.0
2018-01-04,-0.0
2018-01-05,-0.0
2018-01-08,-0.0
2018-01-09,-0.0
2018-01-10,-0.0
2018-01-11,-0.0
2018-01-12,-0.0
2018-01-15,-0.0
2018-01-16,-0.0
2018-01-17,-0.0
2018-01-18,-0.0
2018-01-19,-0.0
2018-01-22,-0.0
2018-01-23,-0.0
2018-01-24,-0.0
2018-01-25,-0.0
2018-01-26,-0.0
2018-01-29,-0.0
2018-01-30,-0.0
2018-01-31,-0.0
2018-02-01,-0.0
2018-02-02,-0.0
2018-02-05,-0.0
2018-02-06,-0.0
2018-02-07,-0.0
2018-02-08,-0.0
2018-02-09,-0.0
2018-02-12,-0.0
2018-02-13,-0.0
2018-02-14,-0.0
2018-02-22,-0.0
2018-02-23,-0.0
2018-02-26,-0.0
2018-02-27,-0.0
2018-02-28,-0.0
2018-03-01,-0.0
2018-03-02,-0.0
2018-03-05,-0.0
2018-03-06,-0.0
2018-03-07,-0.0
2018-03-08,-0.0
2018-03-09,-0.0
2018-03-12,-0.0
2018-03-13,-0.0
2018-03-14,-0.0
2018-03-15,-0.0
2018-03-16,-0.0
2018-03-19,-0.0
2018-03-20,-0.0
2018-03-21,-0.0
2018-03-22,-0.0
2018-03-23,-0.0
2018-03-26,-0.0
2018-03-27,-0.0
2018-03-28,-0.0
2018-03-29,-0.0
2018-03-30,-0.0
2018-04-02,-0.0
2018-04-03,-0.0
2018-04-04,-0.0
2018-04-09,-0.0
2018-04-10,-0.0
2018-04-11,-0.0
2018-04-12,-0.0
2018-04-13,-0.0
2018-04-16,-0.0
2018-04-17,-0.0
2018-04-18,-0.0
2018-04-19,-0.0
2018-04-20,-0.0
2018-04-23,-0.0
2018-04-24,-0.0
2018-04-25,-0.0
2018-04-26,-0.0
2018-04-27,-0.0
2018-05-02,-0.0
2018-05-03,-0.0
2018-05-04,-0.0
2018-05-07,-0.0
2018-05-08,-0.0
2018-05-09,-0.0
2018-05-10,-0.0
2018-05-11,-0.0
2018-05-14,-0.0
2018-05-15,-0.0
2018-05-16,-0.0
2018-05-17,-0.0
2018-05-18,-0.0
2018-05-21,-0.0
2018-05-22,-0.0
2018-05-23,-0.0
2018-05-24,-0.0
2018-05-25,-0.0
2018-05-28,-0.0
2018-05-29,-0.0
2018-05-30,-0.0
2018-05-31,-0.0
2018-06-01,-0.0
2018-06-04,-0.0
2018-06-05,-0.0
2018-06-06,-0.0
2018-06-07,-0.0
2018-06-08,-0.0
2018-06-11,-0.0
2018-06-12,-0.0
2018-06-13,-0.0
2018-06-14,-0.0
2018-06-15,-0.0
2018-06-19,-0.0
2018-06-20,-0.0
2018-06-21,-0.0
2018-06-22,-0.0
2018-06-25,-0.0
2018-06-26,-0.0
2018-06-27,-0.0
2018-06-28,-0.0
2018-06-29,-0.0
2018-07-02,-0.0
2018-07-03,-0.0
2018-07-04,-0.0
2018-07-05,-0.0
2018-07-06,-0.0
2018-07-09,-0.0
2018-07-10,-0.0
2018-07-11,-0.0
2018-07-12,-0.0
2018-07-13,-0.0
2018-07-16,-0.0
2018-07-17,-0.0
2018-07-18,-0.0
2018-07-19,-0.0
2018-07-20,-0.0
2018-07-23,-0.0
2018-07-24,-0.0
2018-07-25,-0.0
2018-07-26,-0.0
2018-07-27,-0.0
2018-07-30,-0.0
2018-07-31,-0.0
2018-08-01,-0.0
2018-08-02,-0.0
2018-08-03,-0.0
2018-08-06,-0.0
2018-08-07,-0.0
2018-08-08,-0.0
2018-08-09,-0.0
2018-08-10,-0.0
2018-08-13,-0.0
2018-08-14,-0.0
2018-08-15,-0.0
2018-08-16,-0.0
2018-08-17,-0.0
2018-08-20,-0.0
2018-08-21,-0.0
2018-08-22,-0.0
2018-08-23,-0.0
2018-08-24,-0.0
2018-08-27,-0.0
2018-08-28,-0.0
2018-08-29,-0.0
2018-08-30,-0.0
2018-08-31,-0.0
2018-09-03,-0.0
2018-09-04,-0.0
2018-09-05,-0.0
2018-09-06,-0.0
2018-09-07,-0.0
2018-09-10,-0.0
2018-09-11,-0.0
2018-09-12,-0.0
2018-09-13,-0.0
2018-09-14,-0.0
2018-09-17,-0.0
2018-09-18,-0.0
2018-09-19,-0.0
2018-09-20,-0.0
2018-09-21,-0.0
2018-09-25,-0.0
2018-09-26,-0.0
2018-09-27,-0.0
2018-09-28,-0.0
2018-10-08,-0.0
2018-10-09,-0.0
2018-10-10,-0.0
2018-10-11,-0.0
2018-10-12,-0.0
2018-10-15,-0.0
2018-10-16,-0.0
2018-10-17,-0.0
2018-10-18,-0.0
2018-10-19,-0.0
2018-10-22,-0.0
2018-10-23,-0.0
2018-10-24,-0.0
2018-10-25,-0.0
2018-10-26,-0.0
2018-10-29,-0.0
2018-10-30,-0.0
2018-10-31,-0.0
2018-11-01,-0.0
2018-11-02,-0.0
2018-11-05,-0.0
2018-11-06,-0.0
2018-11-07,-0.0
2018-11-08,-0.0
2018-11-09,-0.0
2018-11-12,-0.0
2018-11-13,-0.0
2018-11-14,-0.0
2018-11-15,-0.0
2018-11-16,-0.0
2018-11-19,-0.0
2018-11-20,-0.0
2018-11-21,-0.0
2018-11-22,-0.0
2018-11-23,-0.0
2018-11-26,-0.0
2018-11-27,-0.0
2018-11-28,-0.0
2018-11-29,-0.0
2018-11-30,-0.0
2018-12-03,-0.0
2018-12-04,-0.0
2018-12-05,-0.0
2018-12-06,-0.0
2018-12-07,-0.0
2018-12-10,-0.0
2018-12-11,-0.0
2018-12-12,-0.0
2018-12-13,-0.0
2018-12-14,-0.0
2018-12-17,-0.0
2018-12-18,-0.0
2018-12-19,-0.0
2018-12-20,-0.0
2018-12-21,-0.0
2018-12-24,-0.0
2018-12-25,-0.008496815769925118
2018-12-26,0.007875572891464155
2018-12-27,0.0066493911309669675
2018-12-28,0.006467667800593109
2019-01-02,-0.01266293475691039
2019-01-03,0.013470200365853216
2019-01-04,0.0029898978860040254
2019-01-07,-0.0061242599629314914
2019-01-08,0.0011231368049060913
2019-01-09,-0.0001351036210946524
2019-01-10,-0.0008881105409941836
2019-01-11,0.0037564995812212993
2019-01-14,-0.0035683755697819334
2019-01-15,0.009851297164733281
2019-01-16,0.011571908699542024
2019-01-17,-0.00631862966135087
2019-01-18,0.016510983219364013
2019-01-21,0.0002003521481752108
2019-01-22,-0.00024921413608889817
2019-01-23,-0.004203991184832044
2019-01-24,0.0035252736164200485
2019-01-25,0.010250895435160171
2019-01-28,0.004657111239281393
2019-01-29,0.006557070760490662
2019-01-30,0.010455846185652956
2019-01-31,0.010985453041066313
2019-02-01,-0.002877289303320551
2019-02-11,-0.008417710594214
2019-02-12,-0.00138338214737534
2019-02-13,0.0030370771824417934
2019-02-14,-0.0073047126756472245
2019-02-15,0.0008894588717728419
2019-02-18,-0.008296113396883464
2019-02-19,0.002253571359847423
2019-02-20,0.0037566935013545414
2019-02-21,-0.001627859696182308
2019-02-22,-0.009154660218971843
2019-02-25,-0.013713293124790964
2019-02-26,0.013200590577473598
2019-02-27,0.005815300704446267
2019-02-28,0.022035126431502166
2019-03-01,-0.00827150019349846
2019-03-04,-0.011288065708401816
2019-03-05,-0.006677064944880188
2019-03-06,-0.0059706355594772095
2019-03-07,-0.009653543862236746
2019-03-08,0.00022214489540972604
2019-03-11,0.013308251191870152
2019-03-12,-0.007480005436361001
2019-03-13,0.02180157770443874
2019-03-14,0.01296854204365077
2019-03-15,0.00747114967692919
2019-03-18,0.0052298781716474535
2019-03-19,0.001006114786141139
2019-03-20,0.0004271848041219903
2019-03-21,-0.002477312501500588
2019-03-22,0.005796749890680645
2019-03-25,0.008740035295360887
2019-03-26,0.004853370531832872
2019-03-27,0.0011307178829910902
2019-03-28,0.012598292930787826
2019-03-29,-0.0012094300916031114
2019-04-01,-0.006061020284810696
2019-04-02,-0.0030729212661789462
