Date,ret
2018-01-02,-0.0
2018-01-03,-0.0
2018-01-04,-0.0
2018-01-05,-0.0
2018-01-08,-0.0
2018-01-09,-0.0
2018-01-10,-0.0
2018-01-11,-0.0
2018-01-12,-0.0
2018-01-15,-0.0
2018-01-16,-0.0
2018-01-17,-0.0
2018-01-18,-0.0
2018-01-19,-0.0
2018-01-22,-0.0
2018-01-23,-0.0
2018-01-24,-0.0
2018-01-25,-0.0
2018-01-26,-0.0
2018-01-29,-0.0
2018-01-30,-0.0
2018-01-31,-0.0
2018-02-01,-0.0
2018-02-02,-0.0
2018-02-05,-0.0
2018-02-06,-0.0
2018-02-07,-0.0
2018-02-08,-0.0
2018-02-09,-0.0
2018-02-12,-0.0
2018-02-13,-0.0
2018-02-14,-0.0
2018-02-22,-0.0
2018-02-23,-0.0
2018-02-26,-0.0
2018-02-27,-0.0
2018-02-28,-0.0
2018-03-01,-0.0
2018-03-02,-0.0
2018-03-05,-0.0
2018-03-06,-0.0
2018-03-07,-0.0
2018-03-08,-0.0
2018-03-09,-0.0
2018-03-12,-0.0
2018-03-13,-0.0
2018-03-14,-0.0
2018-03-15,-0.0
2018-03-16,-0.0
2018-03-19,-0.0
2018-03-20,-0.0
2018-03-21,-0.0
2018-03-22,-0.0
2018-03-23,-0.0
2018-03-26,-0.0
2018-03-27,-0.0
2018-03-28,-0.0
2018-03-29,-0.0
2018-03-30,-0.0
2018-04-02,-0.0
2018-04-03,-0.0
2018-04-04,-0.0
2018-04-09,-0.0
2018-04-10,-0.0
2018-04-11,-0.0
2018-04-12,-0.0
2018-04-13,-0.0
2018-04-16,-0.0
2018-04-17,-0.0
2018-04-18,-0.0
2018-04-19,-0.0
2018-04-20,-0.0
2018-04-23,-0.0
2018-04-24,-0.0
2018-04-25,-0.0
2018-04-26,-0.0
2018-04-27,-0.0
2018-05-02,-0.0
2018-05-03,-0.0
2018-05-04,-0.0
2018-05-07,-0.0
2018-05-08,-0.0
2018-05-09,-0.0
2018-05-10,-0.0
2018-05-11,-0.0
2018-05-14,-0.0
2018-05-15,-0.0
2018-05-16,-0.0
2018-05-17,-0.0
2018-05-18,-0.0
2018-05-21,-0.0
2018-05-22,-0.0
2018-05-23,-0.0
2018-05-24,-0.0
2018-05-25,-0.0
2018-05-28,-0.0
2018-05-29,-0.0
2018-05-30,-0.0
2018-05-31,-0.0
2018-06-01,-0.0
2018-06-04,-0.0
2018-06-05,-0.0
2018-06-06,-0.0
2018-06-07,-0.0
2018-06-08,-0.0
2018-06-11,-0.0
2018-06-12,-0.0
2018-06-13,-0.0
2018-06-14,-0.0
2018-06-15,-0.0
2018-06-19,-0.0
2018-06-20,-0.0
2018-06-21,-0.0
2018-06-22,-0.0
2018-06-25,-0.0
2018-06-26,-0.0
2018-06-27,-0.0
2018-06-28,-0.0
2018-06-29,-0.0
2018-07-02,-0.0
2018-07-03,-0.0
2018-07-04,-0.0
2018-07-05,-0.0
2018-07-06,-0.0
2018-07-09,-0.0
2018-07-10,-0.0
2018-07-11,-0.0
2018-07-12,-0.0
2018-07-13,-0.0
2018-07-16,-0.0
2018-07-17,-0.0
2018-07-18,-0.0
2018-07-19,-0.0
2018-07-20,-0.0
2018-07-23,-0.0
2018-07-24,-0.0
2018-07-25,-0.0
2018-07-26,-0.0
2018-07-27,-0.0
2018-07-30,-0.0
2018-07-31,-0.0
2018-08-01,-0.0
2018-08-02,-0.0
2018-08-03,-0.0
2018-08-06,-0.0
2018-08-07,-0.0
2018-08-08,-0.0
2018-08-09,-0.0
2018-08-10,-0.0
2018-08-13,-0.0
2018-08-14,-0.0
2018-08-15,-0.0
2018-08-16,-0.0
2018-08-17,-0.0
2018-08-20,-0.0
2018-08-21,-0.0
2018-08-22,-0.0
2018-08-23,-0.0
2018-08-24,-0.0
2018-08-27,-0.0
2018-08-28,-0.0
2018-08-29,-0.0
2018-08-30,-0.0
2018-08-31,-0.0
2018-09-03,-0.0
2018-09-04,-0.0
2018-09-05,-0.0
2018-09-06,-0.0
2018-09-07,-0.0
2018-09-10,-0.0
2018-09-11,-0.0
2018-09-12,-0.0
2018-09-13,-0.0
2018-09-14,-0.0
2018-09-17,-0.0
2018-09-18,-0.0
2018-09-19,-0.0
2018-09-20,-0.0
2018-09-21,-0.0
2018-09-25,-0.0
2018-09-26,-0.0
2018-09-27,-0.0
2018-09-28,-0.0
2018-10-08,-0.0
2018-10-09,-0.0
2018-10-10,-0.0
2018-10-11,-0.0
2018-10-12,-0.0
2018-10-15,-0.0
2018-10-16,-0.0
2018-10-17,-0.0
2018-10-18,-0.0
2018-10-19,-0.0
2018-10-22,-0.0
2018-10-23,-0.0
2018-10-24,-0.0
2018-10-25,-0.0
2018-10-26,-0.0
2018-10-29,-0.0
2018-10-30,-0.0
2018-10-31,-0.0
2018-11-01,-0.0
2018-11-02,-0.0
2018-11-05,-0.0
2018-11-06,-0.0
2018-11-07,-0.0
2018-11-08,-0.0
2018-11-09,-0.0
2018-11-12,-0.0
2018-11-13,-0.0
2018-11-14,-0.0
2018-11-15,-0.0
2018-11-16,-0.0
2018-11-19,-0.0
2018-11-20,-0.0
2018-11-21,-0.0
2018-11-22,-0.0
2018-11-23,-0.0
2018-11-26,-0.0
2018-11-27,-0.0
2018-11-28,-0.0
2018-11-29,-0.0
2018-11-30,-0.0
2018-12-03,-0.0
2018-12-04,-0.0
2018-12-05,-0.0
2018-12-06,-0.0
2018-12-07,-0.0
2018-12-10,-0.0
2018-12-11,-0.0
2018-12-12,-0.0
2018-12-13,-0.0
2018-12-14,-0.0
2018-12-17,-0.0
2018-12-18,-0.0
2018-12-19,-0.0
2018-12-20,-0.0
2018-12-21,-0.0
2018-12-24,-0.0
2018-12-25,-0.0006016017768771184
2018-12-26,0.005572846854782661
2018-12-27,0.008447284404659878
2018-12-28,0.005391029696255784
2019-01-02,-0.010449723189615383
2019-01-03,0.012916151143327552
2019-01-04,0.0013112617666166254
2019-01-07,-0.003096180060784836
2019-01-08,0.0018860422538938748
2019-01-09,0.00047317335830684114
2019-01-10,-2.6010946405107416e-05
2019-01-11,0.0028469259244455654
2019-01-14,-0.0012894576558262708
2019-01-15,0.007392705736496183
2019-01-16,0.008523506102989176
2019-01-17,-0.003301563564940868
2019-01-18,0.013450240311341828
2019-01-21,0.0007595065544753078
2019-01-22,-0.002468415048327165
2019-01-23,-0.002030789110046938
2019-01-24,0.0060953094118193375
2019-01-25,0.01371287213970763
2019-01-28,0.0057889423846600885
2019-01-29,0.007170256339368686
2019-01-30,0.012232386326034331
2019-01-31,0.013477696822385874
2019-02-01,-0.0058083758908057115
2019-02-11,-0.008838690305897082
2019-02-12,-0.0008802267942674726
2019-02-13,0.002555945318881432
2019-02-14,-0.003915270585015383
2019-02-15,0.002753631534691865
2019-02-18,-0.0057537977207234095
2019-02-19,0.00291809957937369
2019-02-20,0.0015126599182781813
2019-02-21,0.0018118188985374846
2019-02-22,-0.004071043878277978
2019-02-25,-0.006189930345387756
2019-02-26,0.01326803435063464
2019-02-27,0.006826099095575465
2019-02-28,0.017625134590396274
2019-03-01,-0.008141661100207193
2019-03-04,-0.0052780617584821735
2019-03-05,-0.0015913167213936347
2019-03-06,0.0004890672827084878
2019-03-07,0.0020045429864715865
2019-03-08,0.007329833235878172
2019-03-11,0.006548185616488407
2019-03-12,-0.006208053299617648
2019-03-13,0.021704104551071052
2019-03-14,0.012692519408431142
2019-03-15,0.0065477652030947586
2019-03-18,0.004768972373112745
2019-03-19,-0.00021340813390535208
2019-03-20,0.0024483593896505278
2019-03-21,-0.002976292870239384
2019-03-22,0.01185485634578846
2019-03-25,0.012207984951193756
2019-03-26,0.004988433244880186
2019-03-27,0.007662167512032626
2019-03-28,0.010571513181581036
2019-03-29,-0.0021366223663324933
2019-04-01,-0.007236103657256118
2019-04-02,-0.00020593059053458998
