Date,ret
2018-01-02,-0.0
2018-01-03,-0.0
2018-01-04,-0.0
2018-01-05,-0.0
2018-01-08,-0.0
2018-01-09,-0.0
2018-01-10,-0.0
2018-01-11,-0.0
2018-01-12,-0.0
2018-01-15,-0.0
2018-01-16,-0.0
2018-01-17,-0.0
2018-01-18,-0.0
2018-01-19,-0.0
2018-01-22,-0.0
2018-01-23,-0.0
2018-01-24,-0.0
2018-01-25,-0.0
2018-01-26,-0.0
2018-01-29,-0.0
2018-01-30,-0.0
2018-01-31,-0.0
2018-02-01,-0.0
2018-02-02,-0.0
2018-02-05,-0.0
2018-02-06,-0.0
2018-02-07,-0.0
2018-02-08,-0.0
2018-02-09,-0.0
2018-02-12,-0.0
2018-02-13,-0.0
2018-02-14,-0.0
2018-02-22,-0.0
2018-02-23,-0.0
2018-02-26,-0.0
2018-02-27,-0.0
2018-02-28,-0.0
2018-03-01,-0.0
2018-03-02,-0.0
2018-03-05,-0.0
2018-03-06,-0.0
2018-03-07,-0.0
2018-03-08,-0.0
2018-03-09,-0.0
2018-03-12,-0.0
2018-03-13,-0.0
2018-03-14,-0.0
2018-03-15,-0.0
2018-03-16,-0.0
2018-03-19,-0.0
2018-03-20,-0.0
2018-03-21,-0.0
2018-03-22,-0.0
2018-03-23,-0.0
2018-03-26,-0.0
2018-03-27,-0.0
2018-03-28,-0.0
2018-03-29,-0.0
2018-03-30,-0.0
2018-04-02,-0.0
2018-04-03,-0.0
2018-04-04,-0.0
2018-04-09,-0.0
2018-04-10,-0.0
2018-04-11,-0.0
2018-04-12,-0.0
2018-04-13,-0.0
2018-04-16,-0.0
2018-04-17,-0.0
2018-04-18,-0.0
2018-04-19,-0.0
2018-04-20,-0.0
2018-04-23,-0.0
2018-04-24,-0.0
2018-04-25,-0.0
2018-04-26,-0.0
2018-04-27,-0.0
2018-05-02,-0.0
2018-05-03,-0.0
2018-05-04,-0.0
2018-05-07,-0.0
2018-05-08,-0.0
2018-05-09,-0.0
2018-05-10,-0.0
2018-05-11,-0.0
2018-05-14,-0.0
2018-05-15,-0.0
2018-05-16,-0.0
2018-05-17,-0.0
2018-05-18,-0.0
2018-05-21,-0.0
2018-05-22,-0.0
2018-05-23,-0.0
2018-05-24,-0.0
2018-05-25,-0.0
2018-05-28,-0.0
2018-05-29,-0.0
2018-05-30,-0.0
2018-05-31,-0.0
2018-06-01,-0.0
2018-06-04,-0.0
2018-06-05,-0.0
2018-06-06,-0.0
2018-06-07,-0.0
2018-06-08,-0.0
2018-06-11,-0.0
2018-06-12,-0.0
2018-06-13,-0.0
2018-06-14,-0.0
2018-06-15,-0.0
2018-06-19,-0.0
2018-06-20,-0.0
2018-06-21,-0.0
2018-06-22,-0.0
2018-06-25,-0.0
2018-06-26,-0.0
2018-06-27,-0.0
2018-06-28,-0.0
2018-06-29,-0.0
2018-07-02,-0.0
2018-07-03,-0.0
2018-07-04,-0.0
2018-07-05,-0.0
2018-07-06,-0.0
2018-07-09,-0.0
2018-07-10,-0.0
2018-07-11,-0.0
2018-07-12,-0.0
2018-07-13,-0.0
2018-07-16,-0.0
2018-07-17,-0.0
2018-07-18,-0.0
2018-07-19,-0.0
2018-07-20,-0.0
2018-07-23,-0.0
2018-07-24,-0.0
2018-07-25,-0.0
2018-07-26,-0.0
2018-07-27,-0.0
2018-07-30,-0.0
2018-07-31,-0.0
2018-08-01,-0.0
2018-08-02,-0.0
2018-08-03,-0.0
2018-08-06,-0.0
2018-08-07,-0.0
2018-08-08,-0.0
2018-08-09,-0.0
2018-08-10,-0.0
2018-08-13,-0.0
2018-08-14,-0.0
2018-08-15,-0.0
2018-08-16,-0.0
2018-08-17,-0.0
2018-08-20,-0.0
2018-08-21,-0.0
2018-08-22,-0.0
2018-08-23,-0.0
2018-08-24,-0.0
2018-08-27,-0.0
2018-08-28,-0.0
2018-08-29,-0.0
2018-08-30,-0.0
2018-08-31,-0.0
2018-09-03,-0.0
2018-09-04,-0.0
2018-09-05,-0.0
2018-09-06,-0.0
2018-09-07,-0.0
2018-09-10,-0.0
2018-09-11,-0.0
2018-09-12,-0.0
2018-09-13,-0.0
2018-09-14,-0.0
2018-09-17,-0.0
2018-09-18,-0.0
2018-09-19,-0.0
2018-09-20,-0.0
2018-09-21,-0.0
2018-09-25,-0.0
2018-09-26,-0.0
2018-09-27,-0.0
2018-09-28,-0.0
2018-10-08,-0.0
2018-10-09,-0.0
2018-10-10,-0.0
2018-10-11,-0.0
2018-10-12,-0.0
2018-10-15,-0.0
2018-10-16,-0.0
2018-10-17,-0.0
2018-10-18,-0.0
2018-10-19,-0.0
2018-10-22,-0.0
2018-10-23,-0.0
2018-10-24,-0.0
2018-10-25,-0.0
2018-10-26,-0.0
2018-10-29,-0.0
2018-10-30,-0.0
2018-10-31,-0.0
2018-11-01,-0.0
2018-11-02,-0.0
2018-11-05,-0.0
2018-11-06,-0.0
2018-11-07,-0.0
2018-11-08,-0.0
2018-11-09,-0.0
2018-11-12,-0.0
2018-11-13,-0.0
2018-11-14,-0.0
2018-11-15,-0.0
2018-11-16,-0.0
2018-11-19,-0.0
2018-11-20,-0.0
2018-11-21,-0.0
2018-11-22,-0.0
2018-11-23,-0.0
2018-11-26,-0.0
2018-11-27,-0.0
2018-11-28,-0.0
2018-11-29,-0.0
2018-11-30,-0.0
2018-12-03,-0.0
2018-12-04,-0.0
2018-12-05,-0.0
2018-12-06,-0.0
2018-12-07,-0.0
2018-12-10,-0.0
2018-12-11,-0.0
2018-12-12,-0.0
2018-12-13,-0.0
2018-12-14,-0.0
2018-12-17,-0.0
2018-12-18,-0.0
2018-12-19,-0.0
2018-12-20,-0.0
2018-12-21,-0.0
2018-12-24,-0.0
2018-12-25,-0.004837009723227908
2018-12-26,0.005882944254416219
2018-12-27,0.008264251075854795
2018-12-28,0.005889020386213738
2019-01-02,-0.011267579206884485
2019-01-03,0.009364858652941298
2019-01-04,0.0015951593606120217
2019-01-07,-0.006744095859240837
2019-01-08,-0.0008090965994176209
2019-01-09,-0.00196976313216486
2019-01-10,-0.0009878057835490109
2019-01-11,0.004057328170536256
2019-01-14,-0.0012117096035461714
2019-01-15,0.00898648441142659
2019-01-16,0.008569919248828082
2019-01-17,-0.0049252750934590155
2019-01-18,0.014964334450915115
2019-01-21,-0.0005613210103396684
2019-01-22,-0.0029826451223320585
2019-01-23,-0.0034324442029363
2019-01-24,0.005076038362021963
2019-01-25,0.011748357769413686
2019-01-28,0.005976478618640535
2019-01-29,0.007245624714542483
2019-01-30,0.014025843556805091
2019-01-31,0.015739183636296214
2019-02-01,-0.005368882640861855
2019-02-11,-0.009906225376534707
2019-02-12,-0.0039496501461205626
2019-02-13,0.0015913955616529765
2019-02-14,-0.007610467251216008
2019-02-15,-0.0015469691680017245
2019-02-18,-0.008048577001235908
2019-02-19,-0.0019810518955511135
2019-02-20,0.0004736489244019939
2019-02-21,-0.0012868375732691811
2019-02-22,-0.005886970595829526
2019-02-25,-0.011477747979616024
2019-02-26,0.007719142136405752
2019-02-27,0.005631635372256014
2019-02-28,0.02042526730450997
2019-03-01,-0.007894789927702293
2019-03-04,-0.009629340567778023
2019-03-05,-0.007955606577176144
2019-03-06,-0.010546441899245106
2019-03-07,-0.013189348689306463
2019-03-08,-0.0010632709543837299
2019-03-11,0.01638934520251465
2019-03-12,-0.009808089747645323
2019-03-13,0.01945469782494476
2019-03-14,0.014346137411107553
2019-03-15,0.009432414191291486
2019-03-18,0.00544498023073162
2019-03-19,-0.0018259882526210584
2019-03-20,0.0003150030106372271
2019-03-21,-0.004890969695529263
2019-03-22,0.009988661418867475
2019-03-25,0.007710793760005788
2019-03-26,0.004684930341255302
2019-03-27,0.0056140146789040845
2019-03-28,0.011748668244603008
2019-03-29,0.0019549124962788336
2019-04-01,-0.0078078297067970676
2019-04-02,-0.0024675599557920543
