label,status,stage,rank_ic,icir,gross_sharpe,gross_annu_ret,net_sharpe,net_annu_ret,mdd_net,daily_turnover,annu_one_way_turnover,implied_annu_fee,direction,n_days,rebalance_freq,top_frac,entry_frac,exit_frac,min_hold,weight_method,round_trip_cost
size_industry|daily|buffer_10_30,optimized,E2_buffer,0.0235604095203221,4.846912963196787,3.714540390954715,0.2769543105077422,2.8805665324758407,0.215265199046734,-0.0981884846952034,0.1645042972293555,20.56303715366944,0.0308445557305041,1,951,1,0.1,0.1,0.3,1,ew,0.0015
size_industry|best_e1|buffer_10_30,optimized,E2_buffer,0.0210686036205832,4.470150574373743,3.3829170425661137,0.254569403083965,2.8592437647023505,0.216412696719045,-0.1074114897207157,0.1017512169731198,12.718902121639982,0.0190783531824599,1,951,10,0.1,0.1,0.3,1,ew,0.0015
size_industry|best_e1_buffer_10_20,optimized,E4_combo,0.0210686036205832,4.470150574373743,3.396354674563581,0.2654136199614937,2.762126576033632,0.2175114266713744,-0.0933445360990494,0.1277391821069847,15.967397763373087,0.0239510966450596,1,951,10,0.1,0.1,0.2,1,ew,0.0015
size_industry|best_e1_buffer_10_20_hold5,optimized,E4_combo,0.0210686036205832,4.470150574373743,3.396354674563581,0.2654136199614937,2.762126576033632,0.2175114266713744,-0.0933445360990494,0.1277391821069847,15.967397763373087,0.0239510966450596,1,951,10,0.1,0.1,0.2,5,ew,0.0015
size_industry|best_e1|buffer_10_20,optimized,E2_buffer,0.0210686036205832,4.470150574373743,3.396354674563581,0.2654136199614937,2.762126576033632,0.2175114266713744,-0.0933445360990494,0.1277391821069847,15.967397763373087,0.0239510966450596,1,951,10,0.1,0.1,0.2,1,ew,0.0015
size_industry|daily_buffer_10_20,optimized,E4_combo,0.0235604095203221,4.846912963196787,3.745368146894182,0.2936712520371247,2.689153477108801,0.2113146317316225,-0.0937316920043148,0.2196176541480055,27.45220676850069,0.041178310152751,1,951,1,0.1,0.1,0.2,1,ew,0.0015
size_industry|daily|buffer_10_20,optimized,E2_buffer,0.0235604095203221,4.846912963196787,3.745368146894182,0.2936712520371247,2.689153477108801,0.2113146317316225,-0.0937316920043148,0.2196176541480055,27.45220676850069,0.041178310152751,1,951,1,0.1,0.1,0.2,1,ew,0.0015
size_industry|best_e1|hold_10d,optimized,E2_hold,0.0210686036205832,4.470150574373743,3.5313699592079506,0.2927299517207222,2.686493255537464,0.2257723545235733,-0.0918942579775662,0.1785535925257309,22.319199065716365,0.0334787985985745,1,951,10,0.1,,,10,ew,0.0015
size_industry|best_e1|hold_5d,optimized,E2_hold,0.0210686036205832,4.470150574373743,3.5313699592079506,0.2927299517207222,2.686493255537464,0.2257723545235733,-0.0918942579775662,0.1785535925257309,22.319199065716365,0.0334787985985745,1,951,10,0.1,,,5,ew,0.0015
size_industry|best_e1_plain,optimized,E4_combo,0.0210686036205832,4.470150574373743,3.5313699592079506,0.2927299517207222,2.686493255537464,0.2257723545235733,-0.0918942579775662,0.1785535925257309,22.319199065716365,0.0334787985985745,1,951,10,0.1,,,1,ew,0.0015
size_industry|best_e1|hold_1d,optimized,E2_hold,0.0210686036205832,4.470150574373743,3.5313699592079506,0.2927299517207222,2.686493255537464,0.2257723545235733,-0.0918942579775662,0.1785535925257309,22.319199065716365,0.0334787985985745,1,951,10,0.1,,,1,ew,0.0015
size_industry|every_10d,optimized,E1,0.0210686036205832,4.470150574373743,3.5313699592079506,0.2927299517207222,2.686493255537464,0.2257723545235733,-0.0918942579775662,0.1785535925257309,22.319199065716365,0.0334787985985745,1,951,10,0.1,,,1,ew,0.0015
size_industry|best_e1|ew,optimized,E3,0.0210686036205832,4.470150574373743,3.5313699592079506,0.2927299517207222,2.686493255537464,0.2257723545235733,-0.0918942579775662,0.1785535925257309,22.319199065716365,0.0334787985985745,1,951,10,0.1,,,1,ew,0.0015
size_industry|best_e1|rank,optimized,E3,0.0210686036205832,4.470150574373743,3.5218001109849983,0.2935297136065368,2.678168204984351,0.2262938388498326,-0.0912463562417099,0.1792956660178783,22.411958252234783,0.0336179373783521,1,951,10,0.1,,,1,rank,0.0015
size_industry|best_e1|zscore,optimized,E3,0.0210686036205832,4.470150574373743,3.442049207818576,0.3312970414761449,2.650933761315104,0.2581834136438414,-0.0878517435510733,0.1949696742194752,24.371209277434403,0.0365568139161516,1,951,10,0.1,,,1,zscore,0.0015
