signal,family,rank_ic,icir,hl_sharpe,net_sharpe,daily_turnover,direction,note,residual_ic_t,cs_corr_with_anchor
active_buy_mktcap_20d,component,-0.04761835929651527,-8.726387655230482,3.839223356706139,3.429626075140162,0.14923783041724187,-1,size+industry,,
active_sell_mktcap_20d,component,-0.04733986298751715,-8.587694383808786,4.080516064915914,3.6186624711213393,0.1410401483513479,-1,size+industry,,
net_active_flow_mktcap_20d,canonical,0.023560409520322182,4.8494659857405304,3.3807064279551793,1.9240046858252975,0.4633406923259706,1,size+industry,,
gross_active_mktcap_20d,component,-0.04761283133805186,-8.666396642237386,3.9927787112350526,3.522838833894873,0.1427461538543596,-1,size+industry,,
amount_mktcap_20d,component,-0.04748845018861428,-8.658415409618966,3.946344140680369,3.553719309280568,0.14254508248715891,-1,size+industry,,
amount_eod_mktcap_20d,component,-0.04735240280560162,-8.660724831650434,3.6863866021245695,3.5579476678960713,0.14201059543461084,-1,size+industry,,
volume_mktcap_20d,component,-0.0251606943466441,-4.9913694083413835,2.7996457970552795,2.247522447097335,0.1244746579003595,-1,size+industry,,
active_buy_share_20d,component,0.0035756945252491037,0.881920825353566,1.1814325798786778,-1.3444761484576961,0.6059150014558894,1,size+industry,,
net_size_resid,style_residual,0.02714052213618111,4.410703526191982,2.9473846028392785,1.6055996006108137,0.47440550958466643,1,Flow ⊥ size,,
net_size_industry_resid,style_residual,0.023560409520322182,4.8494659857405304,3.3807064279551793,1.9240046858252975,0.4633406923259706,1,Flow ⊥ size+industry (same as confirmation),,
net_active_flow_mktcap_20d|raw,canonical_raw,0.017830598196350737,2.073504690019563,1.5150216978697788,0.11363882688586885,0.5147826158378662,1,raw cs_z,,
Flow_perp_Amount,residual,-0.005797643472820779,-1.6610185268009967,,,,-1,⊥ L2 amount/mktcap 20d,-3.2362165789767348,-0.6165748367586112
Flow_perp_AmountEOD,residual,-0.0057798946464093755,-1.64644411252172,,,,-1,⊥ EOD amount/mktcap 20d,-3.2078207722121292,-0.6159675233500267
Flow_perp_Volume,residual,0.01494365941171656,3.1280650636452187,,,,1,⊥ L2 volume/mktcap 20d,6.0945112024625825,-0.46837687865814376
Flow_perp_GrossActive,residual,-0.005735603074182798,-1.6416254454765247,,,,-1,⊥ undirected gross active flow,-3.198432406020776,-0.6144809813723833
Flow_perp_Buy,residual,-0.003638643224841821,-1.0228055735211303,,,,-1,⊥ buy leg,-1.992765463293027,-0.5740973444168961
Flow_perp_Sell,residual,-0.007629120495613218,-2.209169252552523,,,,-1,⊥ sell leg,-4.304196518894497,-0.6501297372381931
