label,stage,rank_ic,icir,gross_sharpe,gross_annu_ret,net_sharpe,net_annu_ret,mdd_net,daily_turnover,annu_one_way_turnover,implied_annu_fee,direction,n_days,rebalance_freq,top_frac,entry_frac,exit_frac,min_hold,weight_method,round_trip_cost
raw_cs_z|best_e1_buffer_5_15,E4_combo,-0.03062858742744393,-5.116425659048941,2.090116210185716,0.30122084463535503,1.700933409496036,0.2438499646402927,-0.06878293464662319,0.15298901332016637,19.123626665020797,0.02868543999753119,-1,252,20,0.1,0.05,0.15,1,ew,0.0015
raw_cs_z|best_e1|buffer_5_15,E2_buffer,-0.03062858742744393,-5.116425659048941,2.090116210185716,0.30122084463535503,1.700933409496036,0.2438499646402927,-0.06878293464662319,0.15298901332016637,19.123626665020797,0.02868543999753119,-1,252,20,0.1,0.05,0.15,1,ew,0.0015
raw_cs_z|best_e1|buffer_10_20,E2_buffer,-0.03062858742744393,-5.116425659048941,2.0082337676046897,0.24282885342693925,1.557830428142585,0.18750790513468302,-0.07675357982320521,0.14752252877934913,18.44031609741864,0.02766047414612796,-1,252,20,0.1,0.1,0.2,1,ew,0.0015
raw_cs_z|best_e1|buffer_10_30,E2_buffer,-0.03062858742744393,-5.116425659048941,1.9526368681780055,0.22871169637903285,1.543548354896844,0.18011422968727583,-0.07922485475540393,0.12959324451135212,16.199155563919014,0.024298733345878523,-1,252,20,0.1,0.1,0.3,1,ew,0.0015
raw_cs_z|every_20d,E1,-0.03062858742744393,-5.116425659048941,1.9666430605670173,0.24438285021636852,1.4664820789712223,0.18132498657349894,-0.0865294281430668,0.16815430304765214,21.01928788095652,0.03152893182143477,-1,252,20,0.1,,,1,ew,0.0015
raw_cs_z|best_e1|hold_1d,E2_hold,-0.03062858742744393,-5.116425659048941,1.9666430605670173,0.24438285021636852,1.4664820789712223,0.18132498657349894,-0.0865294281430668,0.16815430304765214,21.01928788095652,0.03152893182143477,-1,252,20,0.1,,,1,ew,0.0015
raw_cs_z|best_e1|hold_5d,E2_hold,-0.03062858742744393,-5.116425659048941,1.9666430605670173,0.24438285021636852,1.4664820789712223,0.18132498657349894,-0.0865294281430668,0.16815430304765214,21.01928788095652,0.03152893182143477,-1,252,20,0.1,,,5,ew,0.0015
raw_cs_z|best_e1|hold_10d,E2_hold,-0.03062858742744393,-5.116425659048941,1.9666430605670173,0.24438285021636852,1.4664820789712223,0.18132498657349894,-0.0865294281430668,0.16815430304765214,21.01928788095652,0.03152893182143477,-1,252,20,0.1,,,10,ew,0.0015
raw_cs_z|best_e1_plain,E4_combo,-0.03062858742744393,-5.116425659048941,1.9666430605670173,0.24438285021636852,1.4664820789712223,0.18132498657349894,-0.0865294281430668,0.16815430304765214,21.01928788095652,0.03152893182143477,-1,252,20,0.1,,,1,ew,0.0015
raw_cs_z|every_10d,E1,-0.03644346409111508,-6.170183310085534,2.168147733311637,0.2747486479798765,1.3121049211528755,0.16676806686632423,-0.07446668794535316,0.28794821630280637,35.9935270378508,0.0539902905567762,-1,252,10,0.1,,,1,ew,0.0015
raw_cs_z|every_5d,E1,-0.04017110796121114,-7.054147925219939,2.5688569286306953,0.3178870310542005,1.2185691176228977,0.15196195745533353,-0.07947549895547351,0.44246686293031057,55.30835786628882,0.08296253679943323,-1,252,5,0.1,,,1,ew,0.0015
raw_cs_z|weekly_friday,E1,-0.038564371259914465,-6.828721493093512,2.4816859791660426,0.29887950269599173,1.0782665473633877,0.1338140611785023,-0.06548048980853904,0.44017451071330477,55.021813839163094,0.08253272075874465,-1,252,friday,0.1,,,1,ew,0.0015
raw_cs_z|daily|buffer_10_30,E2_buffer,-0.04543661531489283,-8.321490442602693,2.2216392478444296,0.2468848601570696,0.760512651061986,0.08468722441470548,-0.06879086545577875,0.4325270286463051,54.06587858078814,0.0810988178711822,-1,252,1,0.1,0.1,0.3,1,ew,0.0015
raw_cs_z|daily|buffer_5_15,E2_buffer,-0.04543661531489283,-8.321490442602693,2.1341061340828227,0.2917757997996402,0.5782699442457271,0.07912001615270761,-0.08656279711134574,0.5670820897251538,70.88526121564423,0.10632789182346634,-1,252,1,0.1,0.05,0.15,1,ew,0.0015
raw_cs_z|daily_buffer_5_15,E4_combo,-0.04543661531489283,-8.321490442602693,2.1341061340828227,0.2917757997996402,0.5782699442457271,0.07912001615270761,-0.08656279711134574,0.5670820897251538,70.88526121564423,0.10632789182346634,-1,252,1,0.1,0.05,0.15,1,ew,0.0015
raw_cs_z|daily_buffer_10_20,E4_combo,-0.04543661531489283,-8.321490442602693,2.0442869540307513,0.23432657148750677,0.14403860335212867,0.016544950290164364,-0.0827027168711652,0.5807509898595796,72.59387373244745,0.10889081059867119,-1,252,1,0.1,0.1,0.2,1,ew,0.0015
raw_cs_z|daily|buffer_10_20,E2_buffer,-0.04543661531489283,-8.321490442602693,2.0442869540307513,0.23432657148750677,0.14403860335212867,0.016544950290164364,-0.0827027168711652,0.5807509898595796,72.59387373244745,0.10889081059867119,-1,252,1,0.1,0.1,0.2,1,ew,0.0015
raw_cs_z|daily,E1,-0.04543661531489283,-8.321490442602693,1.706144843323221,0.20609331005928797,-1.4739999125878758,-0.17844175485204877,-0.1887240385194348,1.0254268397635682,128.17835497044604,0.19226753245566902,-1,252,1,0.1,,,1,ew,0.0015
