symbol,TradeDate,legacy_value,strict_value,abs_diff
001311.SZ,2023-02-27,0.03135263323831002,0.6554316008515676,0.6240789676132575
603959.SH,2024-05-07,0.6201550387596899,0.0,0.6201550387596899
002158.SZ,2023-07-18,0.6655282081819304,0.220561482699183,0.4449667254827474
300298.SZ,2023-03-21,0.5070879803537862,0.1343783407371226,0.3727096396166636
301293.SZ,2023-05-10,0.042435393574077426,0.41002801169651226,0.3675926181224348
000615.SZ,2023-05-08,0.36011482637276526,0.0,0.36011482637276526
301526.SZ,2023-12-29,0.0014338714663003592,0.35750659150262426,0.3560727200363239
000628.SZ,2023-10-24,0.04763314438526374,0.39365616335640924,0.3460230189711455
301358.SZ,2023-02-14,0.04107314248147308,0.38305644555887797,0.3419833030774049
301510.SZ,2023-08-16,0.015543116183124296,0.35703138841004933,0.341488272226925
301526.SZ,2024-01-02,0.0020646124908619435,0.34035926464751437,0.33829465215665244
002610.SZ,2024-06-06,0.3348717675963161,0.0,0.3348717675963161
002158.SZ,2023-08-07,0.5241257838020571,0.19458053286077076,0.32954525094128634
000546.SZ,2023-06-16,0.3242087839918102,0.0,0.3242087839918102
002610.SZ,2024-06-11,0.31948484995176474,0.0,0.31948484995176474
301558.SZ,2023-10-12,0.001772361759019402,0.3202023965379759,0.3184300347789565
301293.SZ,2023-05-08,0.05759904559563074,0.37293128254102137,0.31533223694539064
301526.SZ,2023-12-28,0.0022505595417535193,0.31662481144868815,0.31437425190693463
000615.SZ,2024-04-29,0.13768037577635459,0.4519473975641784,0.31426702178782384
301301.SZ,2023-01-03,0.015509773306573226,0.328446074581163,0.31293630127458977
000791.SZ,2024-03-19,0.07018020146923368,0.38123675302725446,0.3110565515580208
300318.SZ,2023-09-05,0.402450635989088,0.09522074490094891,0.3072298910881391
000628.SZ,2023-10-30,0.02885581338750277,0.33065087530314463,0.30179506191564187
002611.SZ,2024-02-27,0.06588834718483941,0.3637347779409849,0.2978464307561455
000976.SZ,2023-05-16,0.2549790235890696,0.5518920944173847,0.29691307082831514
301371.SZ,2023-08-03,0.08225977775021136,0.37732287847088003,0.29506310072066866
001287.SZ,2023-04-12,0.01108628931232753,0.30537760010110937,0.29429131078878185
002611.SZ,2024-02-26,0.08209978782461934,0.37559187108366604,0.2934920832590467
301526.SZ,2023-12-27,0.00364304154667456,0.2957186183380598,0.29207557679138524
002088.SZ,2023-05-18,0.40883516700250044,0.11854030403645212,0.29029486296604834
002055.SZ,2023-06-07,0.062094324437959265,0.35215192360776465,0.2900575991698054
