order_amount_bin_rmb,traded_amount,amount_share
≤20k,25198834809103.97,0.40592417302190903
"(20k,30k]",6618720897125.44,0.10661996187449935
"(30k,40k]",4508082089311.909,0.07262000437249132
"(40k,50k]",3423806486433.8506,0.055153574644276504
"(50k,60k]",2722810991244.88,0.04386134550621087
"(60k,100k]",6377854414601.961,0.10273988057440228
"(100k,150k]",3969036058671.18,0.06393659437094922
"(150k,200k]",2245141014139.6,0.03616663295689083
"(200k,250k]",1461149970327.7102,0.023537441229305515
"(250k,300k]",1011720291349.5201,0.01629764732007234
>300k,4540532565651.28,0.07314274412899256
