symbol,TradeDate,canonical_value,dynamic_value,abs_diff
601595.SH,2024-06-21,0.23055779106475494,0.23055779106490065,1.457167719820518e-13
000060.SZ,2024-01-26,0.30078218097246134,0.3007821809723165,1.4482859356235167e-13
601111.SH,2023-01-19,0.33170338912954667,0.33170338912950925,3.7414515929867775e-14
002622.SZ,2023-01-18,0.29525751685309515,0.2952575168530636,3.1530333899354446e-14
603008.SH,2023-01-09,0.34992111623047356,0.3499211162304476,2.5979218776228663e-14
688166.SH,2023-10-13,0.299690702961678,0.29969070296170347,2.5479618415147343e-14
600728.SH,2023-01-18,0.32425494965886503,0.3242549496588887,2.3647750424515834e-14
603345.SH,2024-02-26,0.2900835947074869,0.2900835947075089,2.19824158875781e-14
601009.SH,2023-01-18,0.24091922267698224,0.24091922267696184,2.040034807748725e-14
600683.SH,2023-01-18,0.3147478480295894,0.31474784802960903,1.965094753586527e-14
600246.SH,2023-01-18,0.3073035456068963,0.3073035456068781,1.8207657603852567e-14
603583.SH,2024-01-26,0.21913849166269636,0.21913849166271424,1.787459069646502e-14
000415.SZ,2023-01-18,0.2632489795875939,0.2632489795875761,1.7819079545233762e-14
600133.SH,2023-01-18,0.27573406337860507,0.2757340633785873,1.7763568394002505e-14
301251.SZ,2024-03-06,0.30226185902347624,0.30226185902349356,1.7319479184152442e-14
600667.SH,2023-01-18,0.23525480234076962,0.2352548023407531,1.6514567491299204e-14
688425.SH,2023-02-20,0.40173604172054816,0.4017360417205317,1.6486811915683575e-14
688443.SH,2023-06-28,0.2852974574096729,0.2852974574096893,1.6431300764452317e-14
688088.SH,2023-05-26,0.37026342618620034,0.3702634261862158,1.5487611193520934e-14
000697.SZ,2023-01-18,0.2680248893440602,0.2680248893440752,1.4988010832439613e-14
688425.SH,2023-01-05,0.4356361499779323,0.4356361499779174,1.4932499681208355e-14
301517.SZ,2023-10-17,0.169078902360978,0.1690789023609929,1.4904744105592727e-14
603408.SH,2024-02-02,0.07040450545062714,0.07040450545064193,1.479372180313021e-14
301233.SZ,2023-01-06,0.12468262954501345,0.12468262954499867,1.4779844015322396e-14
688425.SH,2023-03-24,0.32204875407797545,0.32204875407798983,1.4377388168895777e-14
601988.SH,2023-01-18,0.33584177250772995,0.335841772507716,1.3933298959045715e-14
688579.SH,2024-04-29,0.2395311301210797,0.23953113012106578,1.3933298959045715e-14
301533.SZ,2023-08-18,0.16740252814268983,0.16740252814270365,1.3822276656583199e-14
600168.SH,2023-01-18,0.37053415871372414,0.3705341587137379,1.3766765505351941e-14
688538.SH,2023-02-20,0.3359980544771091,0.3359980544771227,1.3600232051658168e-14
301515.SZ,2023-07-25,0.11788880042268686,0.11788880042267375,1.3114509478384662e-14
000008.SZ,2023-01-18,0.34970375652700525,0.34970375652701796,1.2712053631958042e-14
601818.SH,2023-01-18,0.39699142783152275,0.39699142783153546,1.2712053631958042e-14
601133.SH,2023-10-10,0.27337016187614716,0.2733701618761349,1.226796442210798e-14
600007.SH,2023-01-18,0.348347221407589,0.34834722140757685,1.2156942119645464e-14
000540.SZ,2023-01-18,0.3773670513729486,0.37736705137293663,1.199040866595169e-14
688428.SH,2023-09-18,0.27847748025592894,0.27847748025591706,1.1879386363489175e-14
688425.SH,2024-04-17,0.3539539052608861,0.3539539052608978,1.1712852909795402e-14
000156.SZ,2023-01-18,0.22734368849963457,0.2273436884996233,1.1268763699945339e-14
002236.SZ,2023-01-18,0.30287020621471317,0.3028702062147022,1.099120794378905e-14
601816.SH,2023-01-18,0.28632474930950147,0.28632474930949064,1.0824674490095276e-14
688523.SH,2023-06-06,0.3937234449717305,0.3937234449717197,1.0824674490095276e-14
301261.SZ,2024-01-10,0.24229716595798223,0.24229716595799286,1.0630385460785874e-14
001286.SZ,2023-10-16,0.19010532124862523,0.19010532124861468,1.0547118733938987e-14
002548.SZ,2023-01-18,0.27739747911558504,0.2773974791155956,1.0547118733938987e-14
600395.SH,2023-01-18,0.34028970744288833,0.3402897074428987,1.0380585280245214e-14
301510.SZ,2024-02-27,0.28967290265903084,0.2896729026590206,1.021405182655144e-14
688425.SH,2023-05-05,0.35797943299795576,0.357979432997966,1.021405182655144e-14
688469.SH,2024-05-17,0.4740670481054081,0.4740670481053979,1.021405182655144e-14
688425.SH,2024-02-06,0.3260876982951857,0.32608769829519585,1.0158540675320182e-14
688591.SH,2023-08-25,0.22194036309064918,0.22194036309065934,1.0158540675320182e-14
601238.SH,2023-01-19,0.3272639510321125,0.3272639510321225,1.0047518372857667e-14
301382.SZ,2023-05-25,0.3744334649780963,0.3744334649781063,9.992007221626409e-15
688425.SH,2023-03-02,0.4176307348532465,0.4176307348532564,9.936496070395151e-15
000090.SZ,2023-01-18,0.26436286157791133,0.2643628615779211,9.769962616701378e-15
601238.SH,2023-01-18,0.3513376459227239,0.3513376459227336,9.71445146547012e-15
688562.SH,2023-05-24,0.2249266226026529,0.2249266226026432,9.686695889854491e-15
688620.SH,2023-06-27,0.18971436291275529,0.1897143629127456,9.686695889854491e-15
688223.SH,2023-11-15,0.43545719262791593,0.4354571926279254,9.492406860545088e-15
301580.SZ,2024-06-26,0.3049967996975816,0.30499679969757215,9.43689570931383e-15
688538.SH,2023-01-18,0.3712096267483201,0.37120962674832947,9.381384558082573e-15
688779.SH,2024-01-11,0.29583075850681034,0.29583075850680096,9.381384558082573e-15
301348.SZ,2024-02-19,0.23606967840205953,0.23606967840206872,9.18709552877317e-15
688223.SH,2023-07-13,0.3573186679608357,0.3573186679608449,9.159339953157541e-15
688387.SH,2024-02-26,0.33570757328624007,0.33570757328623096,9.103828801926284e-15
688055.SH,2023-12-20,0.14307937769048248,0.1430793776904915,9.020562075079397e-15
600070.SH,2023-01-18,0.33081402775613283,0.33081402775612384,8.992806499463768e-15
600567.SH,2023-01-18,0.24384774502544057,0.2438477450254495,8.93729534823251e-15
688249.SH,2023-05-05,0.2980711787798827,0.2980711787798738,8.881784197001252e-15
600476.SH,2023-01-18,0.34147928890155854,0.34147928890154977,8.770761894538737e-15
688158.SH,2023-04-19,0.3651614238040125,0.36516142380400374,8.770761894538737e-15
688223.SH,2023-11-21,0.3708434113246816,0.37084341132467286,8.770761894538737e-15
688538.SH,2023-02-17,0.44122128518990306,0.44122128518989434,8.715250743307479e-15
002185.SZ,2023-01-18,0.27962494160823737,0.2796249416082287,8.659739592076221e-15
688041.SH,2023-03-20,0.4357024898806681,0.4357024898806595,8.604228440844963e-15
688552.SH,2023-05-18,0.19775385600621323,0.19775385600620465,8.576472865229334e-15
688201.SH,2024-05-07,0.30825779560302474,0.3082577956030333,8.548717289613705e-15
301223.SZ,2023-05-05,0.09561123363173893,0.09561123363174745,8.520961713998076e-15
603172.SH,2024-01-10,0.35439604786335416,0.3543960478633626,8.43769498715119e-15
688646.SH,2024-01-29,0.14664166464641074,0.14664166464641917,8.43769498715119e-15
600022.SH,2023-01-18,0.3103225244650687,0.3103225244650603,8.382183835919932e-15
688223.SH,2024-02-02,0.3991673114594264,0.39916731145941814,8.271161533457416e-15
688009.SH,2023-11-01,0.2251383247297225,0.22513832472971426,8.243405957841787e-15
601311.SH,2023-01-18,0.382018172321692,0.3820181723217002,8.215650382226158e-15
688223.SH,2024-01-19,0.41724119274567084,0.4172411927456626,8.215650382226158e-15
002001.SZ,2023-01-18,0.38795218487945765,0.3879521848794658,8.1601392309949e-15
600822.SH,2023-01-18,0.25206144633744787,0.25206144633745603,8.1601392309949e-15
688425.SH,2023-06-13,0.3175227261880253,0.3175227261880172,8.104628079763643e-15
688189.SH,2023-07-06,0.16689753531718146,0.16689753531718954,8.076872504148014e-15
688486.SH,2023-02-21,0.43222191998676646,0.43222191998675846,7.993605777301127e-15
688425.SH,2023-02-09,0.3635923763407441,0.36359237634075203,7.93809462606987e-15
000828.SZ,2023-01-18,0.3261414616216415,0.3261414616216336,7.882583474838611e-15
688538.SH,2023-12-20,0.2911118307721458,0.2911118307721379,7.882583474838611e-15
688361.SH,2023-05-19,0.2565441202562252,0.25654412025621737,7.827072323607354e-15
002174.SZ,2023-01-18,0.359469029526568,0.3594690295265603,7.716050021144838e-15
688779.SH,2023-12-28,0.31170954509624615,0.31170954509625387,7.716050021144838e-15
688352.SH,2023-10-20,0.15579723454638264,0.1557972345463903,7.66053886991358e-15
688981.SH,2023-04-20,0.3777087980554773,0.37770879805546964,7.66053886991358e-15
000598.SZ,2023-01-18,0.2252327528868349,0.22523275288684239,7.494005416219807e-15
688651.SH,2024-01-26,0.16088623515959474,0.16088623515960224,7.494005416219807e-15
