variant,bucket_type,bucket,amount_coverage,a0_amount_coverage,calibration_start,calibration_end
A1_L0.5_H5,market_cap,1,0.5096640381003065,0.2904820070407795,2023-01-03,2023-06-30
A1_L0.5_H5,market_cap,2,0.5118643873454176,0.3026658869503948,2023-01-03,2023-06-30
A1_L0.5_H5,market_cap,3,0.5063533695463044,0.30941048986981595,2023-01-03,2023-06-30
A1_L0.5_H5,market_cap,4,0.4988759208355932,0.3165408104739169,2023-01-03,2023-06-30
A1_L0.5_H5,market_cap,5,0.44849695080093216,0.33881958011142643,2023-01-03,2023-06-30
A1_L0.5_H10,market_cap,1,0.6340581712590103,0.2904820070407795,2023-01-03,2023-06-30
A1_L0.5_H10,market_cap,2,0.6154619561453298,0.3026658869503948,2023-01-03,2023-06-30
A1_L0.5_H10,market_cap,3,0.6044735281619048,0.30941048986981595,2023-01-03,2023-06-30
A1_L0.5_H10,market_cap,4,0.5869198183064854,0.3165408104739169,2023-01-03,2023-06-30
A1_L0.5_H10,market_cap,5,0.5125021143194647,0.33881958011142643,2023-01-03,2023-06-30
A1_L0.5_H20,market_cap,1,0.7147872233756377,0.2904820070407795,2023-01-03,2023-06-30
A1_L0.5_H20,market_cap,2,0.6797229416995959,0.3026658869503948,2023-01-03,2023-06-30
A1_L0.5_H20,market_cap,3,0.6647160320962083,0.30941048986981595,2023-01-03,2023-06-30
A1_L0.5_H20,market_cap,4,0.6389511885466821,0.3165408104739169,2023-01-03,2023-06-30
A1_L0.5_H20,market_cap,5,0.5481867637371655,0.33881958011142643,2023-01-03,2023-06-30
A1_L1_H5,market_cap,1,0.37190809328807234,0.2904820070407795,2023-01-03,2023-06-30
A1_L1_H5,market_cap,2,0.3605280355934686,0.3026658869503948,2023-01-03,2023-06-30
A1_L1_H5,market_cap,3,0.35179074877270383,0.30941048986981595,2023-01-03,2023-06-30
A1_L1_H5,market_cap,4,0.3412894890337309,0.3165408104739169,2023-01-03,2023-06-30
A1_L1_H5,market_cap,5,0.29047404027844215,0.33881958011142643,2023-01-03,2023-06-30
A1_L1_H10,market_cap,1,0.49630222644677296,0.2904820070407795,2023-01-03,2023-06-30
A1_L1_H10,market_cap,2,0.4641256043933762,0.3026658869503948,2023-01-03,2023-06-30
A1_L1_H10,market_cap,3,0.44991090738829764,0.30941048986981595,2023-01-03,2023-06-30
A1_L1_H10,market_cap,4,0.4293333865046216,0.3165408104739169,2023-01-03,2023-06-30
A1_L1_H10,market_cap,5,0.3544792037969738,0.33881958011142643,2023-01-03,2023-06-30
A1_L1_H20,market_cap,1,0.5770312785633975,0.2904820070407795,2023-01-03,2023-06-30
A1_L1_H20,market_cap,2,0.528386589947636,0.3026658869503948,2023-01-03,2023-06-30
A1_L1_H20,market_cap,3,0.5101534113226035,0.30941048986981595,2023-01-03,2023-06-30
A1_L1_H20,market_cap,4,0.481364756744818,0.3165408104739169,2023-01-03,2023-06-30
A1_L1_H20,market_cap,5,0.3901638532146764,0.33881958011142643,2023-01-03,2023-06-30
A1_L2_H5,market_cap,1,0.21018251584917846,0.2904820070407795,2023-01-03,2023-06-30
A1_L2_H5,market_cap,2,0.19397257731272263,0.3026658869503948,2023-01-03,2023-06-30
A1_L2_H5,market_cap,3,0.1869860904738963,0.30941048986981595,2023-01-03,2023-06-30
A1_L2_H5,market_cap,4,0.17744151308990735,0.3165408104739169,2023-01-03,2023-06-30
A1_L2_H5,market_cap,5,0.14418426782100854,0.33881958011142643,2023-01-03,2023-06-30
A1_L2_H10,market_cap,1,0.3345766490078776,0.2904820070407795,2023-01-03,2023-06-30
A1_L2_H10,market_cap,2,0.2975701461126307,0.3026658869503948,2023-01-03,2023-06-30
A1_L2_H10,market_cap,3,0.28510624908948917,0.30941048986981595,2023-01-03,2023-06-30
A1_L2_H10,market_cap,4,0.26548541056080094,0.3165408104739169,2023-01-03,2023-06-30
A1_L2_H10,market_cap,5,0.2081894313395385,0.33881958011142643,2023-01-03,2023-06-30
A1_L2_H20,market_cap,1,0.41530570112450577,0.2904820070407795,2023-01-03,2023-06-30
A1_L2_H20,market_cap,2,0.3618311316668913,0.3026658869503948,2023-01-03,2023-06-30
A1_L2_H20,market_cap,3,0.345348753023794,0.30941048986981595,2023-01-03,2023-06-30
A1_L2_H20,market_cap,4,0.3175167808009974,0.3165408104739169,2023-01-03,2023-06-30
A1_L2_H20,market_cap,5,0.24387408075724135,0.33881958011142643,2023-01-03,2023-06-30
