scale,unit,group_type,group,quantile,value,calibration_start,calibration_end,quantile_method
ADV20_lag1,bps_of_ADV,universe,ALL,0.1,0.02773788757622242,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,ALL,0.25,0.0666164830327034,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,ALL,0.5,0.18221163749694824,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,ALL,0.75,0.5271891355514526,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,ALL,0.9,1.4415318965911865,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,ALL,0.95,2.687002658843994,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,ALL,0.99,8.840072631835938,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI300,0.1,0.0129048777744174,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI300,0.25,0.03149830922484398,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI300,0.5,0.0812811478972435,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI300,0.75,0.2144014984369278,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI300,0.9,0.5245270133018494,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI300,0.95,0.9100832939147949,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI300,0.99,2.7027037143707275,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI500,0.1,0.023928437381982803,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI500,0.25,0.05190888047218323,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI500,0.5,0.13297618925571442,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI500,0.75,0.35623419284820557,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI500,0.9,0.9027755856513977,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI500,0.95,1.61167573928833,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI500,0.99,4.938781261444092,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI1000,0.1,0.03186056762933731,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI1000,0.25,0.07151159644126892,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI1000,0.5,0.18090884387493134,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI1000,0.75,0.49311748147010803,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI1000,0.9,1.2817496061325073,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI1000,0.95,2.3138160705566406,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,universe,CSI1000,0.99,7.004539966583252,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q1,0.1,0.0516405887901783,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q1,0.25,0.102660171687603,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q1,0.5,0.24879565834999084,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q1,0.75,0.6614985466003418,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q1,0.9,1.7594680786132812,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q1,0.95,3.213829517364502,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q1,0.99,9.60747241973877,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q2,0.1,0.03953341767191887,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q2,0.25,0.08428289741277695,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q2,0.5,0.21172504127025604,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q2,0.75,0.5713565349578857,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q2,0.9,1.4778660535812378,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q2,0.95,2.657123565673828,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q2,0.99,8.037566184997559,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q3,0.1,0.03738071396946907,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q3,0.25,0.0803346037864685,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q3,0.5,0.19949297606945038,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q3,0.75,0.5379040837287903,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q3,0.9,1.3724288940429688,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
ADV20_lag1,bps_of_ADV,market_cap_quintile,Q3,0.95,2.462893009185791,2023-01-03,2023-06-30,ClickHouse quantilesTDigestIf
