label,track,lambda,rank_ic_tradable,icir_tradable,gross_sharpe_tradable,net_sharpe_tradable,net_annu_ret_tradable,net_max_drawdown_tradable,annu_one_way_turnover,icir_delta_vs_c2,net_sharpe_delta_vs_c2,excess_annu_ret,excess_sharpe,size_exposure_mean,size_exposure_abs_mean,industry_active_l1_mean,long_mktcap_pct_mean,short_mktcap_pct_mean,max_name_weight_midday,gate_net_sharpe_gt_0,gate_to_le_100,gate_to_le_50,gate_size_abs_mean_le_0.2,research_feasible
C2_D1_0.60,baseline,0.0,0.05483580377800814,5.732531632016892,1.9830068652326744,0.6724075983977743,0.10214662841837926,-0.15973563132143673,66.22355328286488,,,,,0.6010848016270867,0.6010848016270867,0.6565155601739739,0.5762873970247812,0.4165200829207211,0.0009842519685039372,True,True,False,False,True
C7_additive_λ0.1,additive,0.1,0.05595115273219721,5.895433707001447,2.156449718775034,0.8653541609492512,0.12992216984419597,-0.14895988634704313,64.46055536142335,0.16290207498455533,0.1929465625514769,0.027775541425816577,3.6354930110765715,0.5702340225913095,0.5702340225913095,0.632052792199044,0.5672213774108658,0.4143965878200458,0.0009852216748768474,True,True,False,False,True
C7_additive_λ0.2,additive,0.2,0.05672994920739351,6.08141875543933,2.3440640406378273,1.063572714803199,0.1561561991920997,-0.13576312435277285,62.52813518275399,0.348887123422438,0.39116511640542473,0.054009570773720234,3.9897251019422635,0.5269746622945031,0.5269746622945031,0.5987789665254819,0.5551528282296853,0.4127441174917816,0.0009852216748768474,True,True,False,False,True
C7_additive_λ0.3,additive,0.3,0.05703923770296819,6.297956404525123,2.5390948881978455,1.251729257964195,0.17736228311587454,-0.12627236619908935,60.673525190029835,0.5654247725082309,0.5793216595664207,0.07521565469749528,3.5220633442795273,0.46209401427156876,0.4621275292695455,0.5575044097230553,0.5387178417002173,0.4122599467767905,0.0009852216748768472,True,True,False,False,True
C7_additive_λ0.4,additive,0.4,0.05677564340941973,6.572501735472061,2.8084986402375223,1.4748790401224843,0.19677060087817133,-0.11065482537989596,59.15482107187996,0.839970103455169,0.80247144172471,0.09462397245979202,2.9031340093098255,0.3660045551609363,0.3671854550691445,0.5061301279163891,0.5156549511816396,0.41285801008712875,0.0009852216748768474,True,True,False,False,True
C7_additive_λ0.5,additive,0.5,0.05567594549371715,6.936805845958441,3.1701800826857025,1.7433137641279188,0.21120724631198204,-0.0920817035544036,57.52018559393843,1.2042742139415488,1.0709061657301446,0.10906061789360257,2.2536492674721047,0.23840683783619374,0.25257595971575103,0.45044567667630775,0.4845161719644711,0.4144010960230943,0.0009852216748768474,True,True,False,False,True
C7_size_tight_λ0.1,size_tight,0.1,0.054945613585007845,9.566859506032552,4.089951658267493,1.7928737541476778,0.15845007977851416,-0.07098525822239449,67.43975293718466,3.83432787401566,1.1204661557499036,0.05630345136013486,0.6396855835590168,-0.01238239372393886,0.02558680347425703,0.17092372637102035,0.47261050029028867,0.4733654855276487,0.0009852216748768472,True,True,False,True,True
C7_size_tight_λ0.2,size_tight,0.2,0.05558689408512411,9.6070748496759,4.26519534549627,2.049281656817789,0.18081374528268623,-0.06947021346878375,64.91336909651382,3.874543217659008,1.376874058420015,0.07866711686430733,0.8621505119323354,-0.03217101215014626,0.03630234510753178,0.17195582584479527,0.46300834577551353,0.46805811530272645,0.0009852216748768474,True,True,False,True,True
C7_size_tight_λ0.3,size_tight,0.3,0.05562215439147451,9.629610225720741,4.408068832030373,2.252077578168246,0.19670761361918998,-0.06852374162619615,62.48371700762786,3.8970785937038492,1.5796699797704719,0.09456098520081094,0.987029585869803,-0.06487691319915531,0.06566570950661747,0.1764612885939764,0.4504642282712091,0.46345043530718155,0.0009852216748768474,True,True,False,True,True
C7_size_tight_λ0.4,size_tight,0.4,0.054968855774171786,9.620592154453671,4.693050165467651,2.569024875459026,0.21833237221683827,-0.06411468834442603,59.892084197054096,3.8880605224367795,1.8966172770612517,0.11618574379845871,1.1382553122520878,-0.11185134814554261,0.11217769918851209,0.18653227981361784,0.434277965135047,0.45942780541079575,0.0009852216748768474,True,True,False,True,True
C7_size_tight_λ0.5,size_tight,0.5,0.05344077325720417,9.536599817219694,4.924080736777025,2.8033679831072695,0.22849607113526657,-0.05727501217095163,57.41887063321644,3.8040681852028015,2.1309603847094953,0.12634944271688758,1.1417952137511576,-0.17293980850313861,0.1729576017673293,0.20494333859123723,0.4144167630130372,0.45603513560111286,0.0009852216748768474,True,True,False,True,True
