label,stage,rank_ic,icir,gross_sharpe,gross_annu_ret,net_sharpe,net_annu_ret,mdd_net,daily_turnover,annu_one_way_turnover,implied_annu_fee,direction,n_days,rebalance_freq,top_frac,entry_frac,exit_frac,min_hold,weight_method,round_trip_cost
size_industry|daily|buffer_10_30,E2_buffer,0.023560409520322182,4.846912963196787,3.714540390954715,0.2769543105077422,2.8805665324758407,0.215265199046734,-0.09818848469520346,0.16450429722935553,20.56303715366944,0.03084455573050416,1,951,1,0.1,0.1,0.3,1,ew,0.0015
size_industry|best_e1|buffer_10_30,E2_buffer,0.021068603620583257,4.470150574373743,3.3829170425661137,0.25456940308396503,2.8592437647023505,0.21641269671904503,-0.1074114897207157,0.10175121697311985,12.718902121639982,0.019078353182459973,1,951,10,0.1,0.1,0.3,1,ew,0.0015
size_industry|best_e1_buffer_10_20,E4_combo,0.021068603620583257,4.470150574373743,3.3963546745635815,0.2654136199614937,2.762126576033632,0.21751142667137446,-0.09334453609904943,0.1277391821069847,15.967397763373087,0.023951096645059632,1,951,10,0.1,0.1,0.2,1,ew,0.0015
size_industry|best_e1_buffer_10_20_hold5,E4_combo,0.021068603620583257,4.470150574373743,3.3963546745635815,0.2654136199614937,2.762126576033632,0.21751142667137446,-0.09334453609904943,0.1277391821069847,15.967397763373087,0.023951096645059632,1,951,10,0.1,0.1,0.2,5,ew,0.0015
size_industry|best_e1|buffer_10_20,E2_buffer,0.021068603620583257,4.470150574373743,3.3963546745635815,0.2654136199614937,2.762126576033632,0.21751142667137446,-0.09334453609904943,0.1277391821069847,15.967397763373087,0.023951096645059632,1,951,10,0.1,0.1,0.2,1,ew,0.0015
size_industry|daily_buffer_10_20,E4_combo,0.023560409520322182,4.846912963196787,3.745368146894182,0.2936712520371247,2.6891534771088015,0.21131463173162254,-0.0937316920043148,0.21961765414800552,27.45220676850069,0.04117831015275104,1,951,1,0.1,0.1,0.2,1,ew,0.0015
size_industry|daily|buffer_10_20,E2_buffer,0.023560409520322182,4.846912963196787,3.745368146894182,0.2936712520371247,2.6891534771088015,0.21131463173162254,-0.0937316920043148,0.21961765414800552,27.45220676850069,0.04117831015275104,1,951,1,0.1,0.1,0.2,1,ew,0.0015
size_industry|best_e1|hold_10d,E2_hold,0.021068603620583257,4.470150574373743,3.5313699592079506,0.2927299517207222,2.6864932555374637,0.22577235452357333,-0.09189425797756622,0.17855359252573091,22.319199065716365,0.03347879859857455,1,951,10,0.1,,,10,ew,0.0015
size_industry|best_e1|hold_5d,E2_hold,0.021068603620583257,4.470150574373743,3.5313699592079506,0.2927299517207222,2.6864932555374637,0.22577235452357333,-0.09189425797756622,0.17855359252573091,22.319199065716365,0.03347879859857455,1,951,10,0.1,,,5,ew,0.0015
size_industry|best_e1_plain,E4_combo,0.021068603620583257,4.470150574373743,3.5313699592079506,0.2927299517207222,2.6864932555374637,0.22577235452357333,-0.09189425797756622,0.17855359252573091,22.319199065716365,0.03347879859857455,1,951,10,0.1,,,1,ew,0.0015
size_industry|best_e1|hold_1d,E2_hold,0.021068603620583257,4.470150574373743,3.5313699592079506,0.2927299517207222,2.6864932555374637,0.22577235452357333,-0.09189425797756622,0.17855359252573091,22.319199065716365,0.03347879859857455,1,951,10,0.1,,,1,ew,0.0015
size_industry|every_10d,E1,0.021068603620583257,4.470150574373743,3.5313699592079506,0.2927299517207222,2.6864932555374637,0.22577235452357333,-0.09189425797756622,0.17855359252573091,22.319199065716365,0.03347879859857455,1,951,10,0.1,,,1,ew,0.0015
size_industry|best_e1|ew,E3,0.021068603620583257,4.470150574373743,3.5313699592079506,0.2927299517207222,2.6864932555374637,0.22577235452357333,-0.09189425797756622,0.17855359252573091,22.319199065716365,0.03347879859857455,1,951,10,0.1,,,1,ew,0.0015
size_industry|best_e1|rank,E3,0.021068603620583257,4.470150574373743,3.5218001109849983,0.29352971360653685,2.678168204984351,0.22629383884983265,-0.09124635624170994,0.1792956660178783,22.411958252234786,0.033617937378352176,1,951,10,0.1,,,1,rank,0.0015
size_industry|best_e1|zscore,E3,0.021068603620583257,4.470150574373743,3.4420492078185756,0.3312970414761449,2.6509337613151036,0.2581834136438414,-0.08785174355107338,0.19496967421947523,24.371209277434403,0.036556813916151606,1,951,10,0.1,,,1,zscore,0.0015
size_industry|every_5d,E1,0.02214156379162003,4.638839238561439,3.6802316595874536,0.30952556563870554,2.6141649208645283,0.22180491768298935,-0.09895787409655774,0.23392172788190943,29.240215985238677,0.043860323977858016,1,951,5,0.1,,,1,ew,0.0015
size_industry|weekly_friday,E1,0.022162789520195306,4.618712836489072,3.593539006745586,0.3038489010986752,2.4959305550891697,0.21551982121403063,-0.08555938477000123,0.23554421302571868,29.443026628214835,0.04416453994232225,1,951,friday,0.1,,,1,ew,0.0015
size_industry|best_e1|buffer_5_15,E2_buffer,0.021068603620583257,4.470150574373743,3.036295207105744,0.28286883694136483,2.480892976882233,0.23278149443145335,-0.08594129968271172,0.1335662466930975,16.695780836637187,0.02504367125495578,1,951,10,0.1,0.05,0.15,1,ew,0.0015
size_industry|daily_buffer_5_15,E4_combo,0.023560409520322182,4.846912963196787,3.3663230675508484,0.3146626748745668,2.472728838981885,0.2315707071272606,-0.08058046994772321,0.2215785806594833,27.69732258243541,0.04154598387365312,1,951,1,0.1,0.05,0.15,1,ew,0.0015
size_industry|daily|buffer_5_15,E2_buffer,0.023560409520322182,4.846912963196787,3.3663230675508484,0.3146626748745668,2.472728838981885,0.2315707071272606,-0.08058046994772321,0.2215785806594833,27.69732258243541,0.04154598387365312,1,951,1,0.1,0.05,0.15,1,ew,0.0015
size_industry|daily|hold_10d,E2_hold,0.023560409520322182,4.846912963196787,3.558799651020444,0.268726463967799,2.236586947393395,0.16933578031205876,-0.08933116231574618,0.2650418230819753,33.13022788524692,0.04969534182787037,1,951,1,0.1,,,10,ew,0.0015
