Return_Window,Bartime,Group,Sharpe_Ratio,Max_Drawdown,Annualized_Return
Ret_15,1970-01-01 09:59:00,group_0,0.6687157092629521,-0.09369940609968652,0.039335004653434875
Ret_15,1970-01-01 09:59:00,group_1,0.2774155823866434,-0.09495835106768113,0.015069837306957016
Ret_15,1970-01-01 09:59:00,group_2,-0.10413499478752178,-0.11180063786235428,-0.00572908444132259
Ret_15,1970-01-01 09:59:00,group_3,-0.039286799930296885,-0.11072185037813209,-0.002255772953916404
Ret_15,1970-01-01 09:59:00,group_4,0.11852324608962635,-0.10831396126635795,0.00739911078643576
Ret_15,1970-01-01 09:59:00,group_HML,-1.5379296559241866,-0.06587472617856294,-0.03193589386699909
Ret_15,1970-01-01 10:29:00,group_0,0.42012168935265914,-0.04666602282259735,0.018642025859294552
Ret_15,1970-01-01 10:29:00,group_1,0.139788981657045,-0.04991009674884528,0.005597329090289088
Ret_15,1970-01-01 10:29:00,group_2,0.38459761751445654,-0.046138122538618154,0.015455282106615047
Ret_15,1970-01-01 10:29:00,group_3,0.44924361169152094,-0.05131372244224763,0.018777420151813287
Ret_15,1970-01-01 10:29:00,group_4,0.7152087884385067,-0.045955060876667564,0.03371565615325724
Ret_15,1970-01-01 10:29:00,group_HML,0.9995067630943797,-0.010813607420094407,0.015073630293962659
Ret_15,1970-01-01 10:59:00,group_0,-0.35419646415808365,-0.06370510582472633,-0.016829816213897668
Ret_15,1970-01-01 10:59:00,group_1,-0.17074367678629562,-0.049030688327551974,-0.007416671590239443
Ret_15,1970-01-01 10:59:00,group_2,-0.36275489670459465,-0.05518835992435933,-0.015755449391082206
Ret_15,1970-01-01 10:59:00,group_3,-0.3393913629893099,-0.06018148435307624,-0.015398137925413663
Ret_15,1970-01-01 10:59:00,group_4,-0.34710047557051676,-0.06970393959363941,-0.017487720306369563
Ret_15,1970-01-01 10:59:00,group_HML,-0.048483033897736574,-0.016954306209709835,-0.0006579040924719099
Ret_15,1970-01-01 11:29:00,group_0,-1.9234256594043337,-0.20564604279161103,-0.09484944148665128
Ret_15,1970-01-01 11:29:00,group_1,-1.3986251121276263,-0.1389183337119474,-0.06398339780221371
