date,n,n_unique_values,n_unique_ranks,tie_ratio,value_collision_ratio
2024-06-03,793,793,793,0.0,0.0
2024-06-04,793,793,793,0.0,0.0
2024-06-05,792,792,792,0.0,0.0
2024-06-06,792,792,792,0.0,0.0
2024-06-07,791,791,791,0.0,0.0
2024-06-11,789,789,789,0.0,0.0
2024-06-12,794,794,794,0.0,0.0
2024-06-13,794,794,794,0.0,0.0
2024-06-14,794,794,794,0.0,0.0
2024-06-17,794,794,794,0.0,0.0
2024-06-18,792,792,792,0.0,0.0
2024-06-19,793,793,793,0.0,0.0
2024-06-20,793,793,793,0.0,0.0
2024-06-21,793,793,793,0.0,0.0
2024-06-24,792,792,792,0.0,0.0
2024-06-25,792,792,792,0.0,0.0
2024-06-26,792,792,792,0.0,0.0
2024-06-27,789,789,789,0.0,0.0
2024-06-28,788,788,788,0.0,0.0
