symbol,fiscal_period,actual_eps,consensus_eps,est_dt,notice_dt,express_dt,income_dt,known_dt,sue,source_actual
000001.SZ,20231231,2.25,2.5668,2023-11-24,,,2024-03-15,2024-03-15,-0.1234221598877981,income
000002.SZ,20231231,1.03,1.5786,2024-03-21,,,2024-03-29,2024-03-29,-0.3475231217534524,income
000009.SZ,20231231,0.29,0.9243,2021-11-22,,,2024-04-16,2024-04-16,-0.6862490533376611,income
000012.SZ,20231231,0.54,0.5878,2023-11-07,,,2024-04-26,2024-04-26,-0.08132017693092881,income
000021.SZ,20231231,0.4131,0.4709,2023-11-23,,,2024-04-11,2024-04-11,-0.12274368231046924,income
000026.SZ,20231231,0.8082,0.8237,2023-11-03,,,2024-03-14,2024-03-14,-0.018817530654364402,income
000027.SZ,20231231,0.27,0.7561,2024-03-11,,,2024-04-20,2024-04-20,-0.6429043777278137,income
000028.SZ,20231231,2.87,2.9358,2023-11-27,,2024-03-15,2024-04-08,2024-03-15,-0.02241297091082494,express
000030.SZ,20231231,0.35,0.3462,2024-02-19,,,2024-04-22,2024-04-22,0.010976314269208464,income
000031.SZ,20231231,-0.34,0.0644,2023-11-15,2024-01-31,,2024-04-27,2024-04-27,-6.279503105590063,income
000032.SZ,20231231,0.2897,0.2293,2023-12-06,2024-01-11,,2024-04-18,2024-04-18,0.2634103794156128,income
000034.SZ,20231231,1.7937,1.8056,2024-03-24,,,2024-03-29,2024-03-29,-0.006590607000443078,income
000035.SZ,20231231,0.14,0.2183,2024-02-05,,,2024-04-30,2024-04-30,-0.35868071461291795,income
000036.SZ,20231231,0.06,0.3246,2023-11-30,2024-01-30,,2024-04-29,2024-04-29,-0.8151571164510166,income
000039.SZ,20231231,0.07,0.0515,2024-03-20,2024-01-31,,2024-03-28,2024-03-28,0.359223300970874,income
000045.SZ,20231231,0.16,0.2268,2023-04-10,2024-01-25,,2024-03-28,2024-03-28,-0.2945326278659612,income
000048.SZ,20231231,3.3375,2.8422,2024-02-08,2024-01-26,,2024-03-20,2024-03-20,0.17426641334177745,income
000049.SZ,20231231,1.7107,1.8404,2023-11-26,,,2024-03-26,2024-03-26,-0.07047381004129533,income
000050.SZ,20231231,-0.8535,-0.743,2023-11-29,2024-01-31,,2024-03-15,2024-03-15,-0.14872139973082105,income
000060.SZ,20231231,0.18,0.2868,2024-01-14,,,2024-04-25,2024-04-25,-0.37238493723849375,income
