factor,mode,anchor,residual_ic_mean,residual_icir,residual_ic_t,n_days,rank_ic,icir,verdict
unexpected_profit_notice_surprise_20d,hold,base3_combo,-0.0010466674499297454,-0.16882250961684533,-0.16983242396659654,253,0.0032336395521224974,0.4920027956193331,drop
unexpected_profit_notice_surprise_20d,hold,low_vol_liquidity_quality_60d,0.00047163456430581694,0.07730065725628768,0.0777630780743735,253,0.0032336395521224974,0.4920027956193331,drop
unexpected_profit_notice_surprise_20d,hold,winner_sentiment_reversal_5d,0.0017497848264872368,0.26809246255465274,0.271819845478617,257,0.0032336395521224974,0.4920027956193331,drop
unexpected_profit_notice_surprise_20d,hold,upside_fragility_20d,0.0009042581131082578,0.13816816238887833,0.13899469914746562,253,0.0032336395521224974,0.4920027956193331,drop
sue_np_yoy_z,hold,base3_combo,0.0012021713278653433,0.2541007252616729,0.3165568845465925,388,0.002692927275074238,0.5362390415226829,raw_signal_only
sue_np_yoy_z,hold,low_vol_liquidity_quality_60d,0.0024500300887968576,0.51245371782434,0.6384112135915266,388,0.002692927275074238,0.5362390415226829,raw_signal_only
sue_np_yoy_z,hold,winner_sentiment_reversal_5d,0.0021022541828175367,0.4197839655568974,0.524981766905563,391,0.002692927275074238,0.5362390415226829,raw_signal_only
sue_np_yoy_z,hold,upside_fragility_20d,0.0025163499826310874,0.5305937284971051,0.6610099104598609,388,0.002692927275074238,0.5362390415226829,raw_signal_only
sue_eps_consensus,hold,base3_combo,0.008925567856629795,1.736496370328134,1.4978224912375668,186,0.01625604223089588,3.214031903317022,raw_signal_only
sue_eps_consensus,hold,low_vol_liquidity_quality_60d,0.011254059854563665,2.023460873069277,1.7453449702573576,186,0.01625604223089588,3.214031903317022,raw_signal_only
sue_eps_consensus,hold,winner_sentiment_reversal_5d,0.012311883184096737,2.331983741105076,2.0114627109571654,186,0.01625604223089588,3.214031903317022,raw_signal_only
sue_eps_consensus,hold,upside_fragility_20d,0.008931107848590476,1.5489125634671352,1.3360212633690194,186,0.01625604223089588,3.214031903317022,raw_signal_only
analyst_np_revision_20d,hold,base3_combo,-0.0011126008968568258,-0.2541506606302563,-0.36014144035917584,502,-0.0003838134427134184,-0.08999703365673045,drop
analyst_np_revision_20d,hold,low_vol_liquidity_quality_60d,-0.0003364002617655173,-0.06297379633250495,-0.08923633587979647,502,-0.0003838134427134184,-0.08999703365673045,drop
analyst_np_revision_20d,hold,winner_sentiment_reversal_5d,-0.0005244942569027944,-0.12242251628180424,-0.17347750045893384,502,-0.0003838134427134184,-0.08999703365673045,drop
analyst_np_revision_20d,hold,upside_fragility_20d,-0.0014338722046533165,-0.3220421399972303,-0.45634632570829725,502,-0.0003838134427134184,-0.08999703365673045,drop
profit_notice_mid_surprise,hold,base3_combo,0.0015243498569835654,0.23810568622931927,0.23762899769067766,249,0.00020499870207697868,0.03214919761770738,drop
profit_notice_mid_surprise,hold,low_vol_liquidity_quality_60d,0.005655291965397743,0.8044606674433405,0.8028501339612091,249,0.00020499870207697868,0.03214919761770738,drop
profit_notice_mid_surprise,hold,winner_sentiment_reversal_5d,0.0041668972584015295,0.6236253412419608,0.6248713471620447,251,0.00020499870207697868,0.03214919761770738,drop
profit_notice_mid_surprise,hold,upside_fragility_20d,0.004362143051040411,0.6459414351166677,0.6459414351166677,250,0.00020499870207697868,0.03214919761770738,drop
unexpected_profit_notice_surprise_20d,decay,base3_combo,0.000858034318406649,0.1437935778081563,0.14465376640480793,253,0.0071479908390615216,1.0794645682495048,raw_signal_only
unexpected_profit_notice_surprise_20d,decay,low_vol_liquidity_quality_60d,0.00021115359878473604,0.03472917480517768,0.0349369284517167,253,0.0071479908390615216,1.0794645682495048,raw_signal_only
unexpected_profit_notice_surprise_20d,decay,winner_sentiment_reversal_5d,0.005849280549594123,0.9043516298153143,0.9169251456467996,257,0.0071479908390615216,1.0794645682495048,raw_signal_only
unexpected_profit_notice_surprise_20d,decay,upside_fragility_20d,0.004537734944552815,0.7131097029118566,0.7173756015977132,253,0.0071479908390615216,1.0794645682495048,raw_signal_only
sue_np_yoy_z,decay,base3_combo,-0.0003774539142956641,-0.08671406614411825,-0.10802776968338554,388,0.0034297129878587936,0.69000392251429,raw_signal_only
sue_np_yoy_z,decay,low_vol_liquidity_quality_60d,0.0010657504141549402,0.23697625768687686,0.2952233440798576,388,0.0034297129878587936,0.69000392251429,raw_signal_only
sue_np_yoy_z,decay,winner_sentiment_reversal_5d,0.0013831325826459428,0.2968057957030805,0.37118528538674084,391,0.0034297129878587936,0.69000392251429,raw_signal_only
sue_np_yoy_z,decay,upside_fragility_20d,0.0019776655239380145,0.45174673510809454,0.5627828843174223,388,0.0034297129878587936,0.69000392251429,raw_signal_only
sue_eps_consensus,decay,base3_combo,0.009847035618139455,2.0408476113559697,1.7603419769312894,186,0.01757215122503494,3.705823046439232,raw_signal_only
sue_eps_consensus,decay,low_vol_liquidity_quality_60d,0.011913849890244988,2.2785051069705835,1.965334482660223,186,0.01757215122503494,3.705823046439232,raw_signal_only
sue_eps_consensus,decay,winner_sentiment_reversal_5d,0.014119649621315369,2.8359763774278797,2.446183749826808,186,0.01757215122503494,3.705823046439232,raw_signal_only
sue_eps_consensus,decay,upside_fragility_20d,0.011138509219008146,2.04376625862606,1.7628594688188794,186,0.01757215122503494,3.705823046439232,raw_signal_only
analyst_np_revision_20d,decay,base3_combo,0.003579438227732481,0.7894239798253262,1.11864469855531,502,0.0021946172040341046,0.47245482375110925,drop
analyst_np_revision_20d,decay,low_vol_liquidity_quality_60d,0.004515031484110852,0.8203064902707358,1.162406425422893,502,0.0021946172040341046,0.47245482375110925,drop
analyst_np_revision_20d,decay,winner_sentiment_reversal_5d,0.0038152712578636743,0.816299649528864,1.1567285751568774,502,0.0021946172040341046,0.47245482375110925,drop
analyst_np_revision_20d,decay,upside_fragility_20d,0.00277922226109807,0.5801172418645513,0.8220488530078591,502,0.0021946172040341046,0.47245482375110925,drop
profit_notice_mid_surprise,decay,base3_combo,0.0007968964965155837,0.11511822689761259,0.11488775974573624,249,0.0014154828128282607,0.22581047266598275,drop
profit_notice_mid_surprise,decay,low_vol_liquidity_quality_60d,0.001866279336568433,0.2521440729234847,0.25163927947838705,249,0.0014154828128282607,0.22581047266598275,drop
profit_notice_mid_surprise,decay,winner_sentiment_reversal_5d,0.004290362925083722,0.6265545798319627,0.6278064383824372,251,0.0014154828128282607,0.22581047266598275,drop
profit_notice_mid_surprise,decay,upside_fragility_20d,0.004350192637652698,0.6279397314030764,0.6279397314030764,250,0.0014154828128282607,0.22581047266598275,drop
