factor,mode,lambda,rank_ic,icir,hl_sharpe,monotonicity_score
unexpected_profit_notice_surprise_20d,hold,0.0,0.039060822882092464,4.9957106826878155,3.8333535586258964,1.0
unexpected_profit_notice_surprise_20d,hold,0.1,0.03726002059305208,3.9260064430810915,3.020433231105621,0.5555555555555556
unexpected_profit_notice_surprise_20d,hold,0.2,0.037692106244682694,3.9911368740715103,3.035215424244467,0.5555555555555556
unexpected_profit_notice_surprise_20d,hold,0.3,0.037445732513100544,4.039368960368408,2.8516425085723687,0.6666666666666666
sue_np_yoy_z,hold,0.0,0.039060822882092464,4.9957106826878155,3.8333535586258964,1.0
sue_np_yoy_z,hold,0.1,0.03364776625294747,4.222226090864178,3.4425626534470872,1.0
sue_np_yoy_z,hold,0.2,0.032908480573303596,4.209005203879814,3.3645747382586935,0.8888888888888888
sue_np_yoy_z,hold,0.3,0.031334226426572624,4.13200838951047,3.473706249424657,0.8888888888888888
sue_eps_consensus,hold,0.0,0.039060822882092464,4.9957106826878155,3.8333535586258964,1.0
sue_eps_consensus,hold,0.1,0.035215553771537754,3.6603965574486867,3.4929284673102257,0.7777777777777778
sue_eps_consensus,hold,0.2,0.037041401090699096,3.861324071385949,3.673633079943523,0.7777777777777778
sue_eps_consensus,hold,0.3,0.037942179706491316,4.033236004754978,3.5761812462206737,0.7777777777777778
analyst_np_revision_20d,hold,0.0,0.039060822882092464,4.9957106826878155,3.8333535586258964,1.0
analyst_np_revision_20d,hold,0.1,0.030659013241294643,3.401371064494379,1.881711895446927,0.8888888888888888
analyst_np_revision_20d,hold,0.2,0.030551521681622656,3.4151284178631105,1.8990222163230916,0.7777777777777778
analyst_np_revision_20d,hold,0.3,0.030238502355213123,3.4278935595425004,1.9058710640473646,0.7777777777777778
profit_notice_mid_surprise,hold,0.0,0.039060822882092464,4.9957106826878155,3.8333535586258964,1.0
profit_notice_mid_surprise,hold,0.1,0.03403225087650719,3.6006596192276867,2.776417328796994,0.6666666666666666
profit_notice_mid_surprise,hold,0.2,0.0335436412650886,3.615466342179519,2.7784109041454337,0.6666666666666666
profit_notice_mid_surprise,hold,0.3,0.03287093115318056,3.633877782621996,3.0270235929351674,0.6666666666666666
unexpected_profit_notice_surprise_20d,decay,0.0,0.039060822882092464,4.9957106826878155,3.8333535586258964,1.0
unexpected_profit_notice_surprise_20d,decay,0.1,0.03780173629912843,3.979178634409991,3.24067004406505,0.5555555555555556
unexpected_profit_notice_surprise_20d,decay,0.2,0.03921166622624106,4.142443762789527,3.10544141617724,0.6666666666666666
unexpected_profit_notice_surprise_20d,decay,0.3,0.0384835063448522,4.107046196557452,3.185165372069,0.6666666666666666
sue_np_yoy_z,decay,0.0,0.039060822882092464,4.9957106826878155,3.8333535586258964,1.0
sue_np_yoy_z,decay,0.1,0.03379614740311767,4.241675666205217,3.47190783123825,0.8888888888888888
sue_np_yoy_z,decay,0.2,0.03285897600007348,4.166774220986177,3.61350252318095,0.7777777777777778
sue_np_yoy_z,decay,0.3,0.031319447139351884,4.0954058361300705,3.5865130843997255,0.7777777777777778
sue_eps_consensus,decay,0.0,0.039060822882092464,4.9957106826878155,3.8333535586258964,1.0
sue_eps_consensus,decay,0.1,0.035254235144464734,3.667755332850617,3.4878402780956157,0.6666666666666666
sue_eps_consensus,decay,0.2,0.03698893455044086,3.859972718598336,3.5731337365063687,0.6666666666666666
sue_eps_consensus,decay,0.3,0.038171108756150686,4.057814893995635,3.772905003339759,1.0
analyst_np_revision_20d,decay,0.0,0.039060822882092464,4.9957106826878155,3.8333535586258964,1.0
analyst_np_revision_20d,decay,0.1,0.030744232880630468,3.4110206671260825,1.888306442123902,0.8888888888888888
analyst_np_revision_20d,decay,0.2,0.030616162219598442,3.4276899783034085,1.8876110909895691,0.8888888888888888
analyst_np_revision_20d,decay,0.3,0.03035369169256717,3.449304406081199,1.9069637649181028,0.8888888888888888
profit_notice_mid_surprise,decay,0.0,0.039060822882092464,4.9957106826878155,3.8333535586258964,1.0
profit_notice_mid_surprise,decay,0.1,0.03426832837091237,3.606417547789383,2.841579561903453,0.7777777777777778
profit_notice_mid_surprise,decay,0.2,0.03394780114355936,3.6094755910446317,2.7959124219248848,0.6666666666666666
profit_notice_mid_surprise,decay,0.3,0.03279861487432842,3.567147784044335,2.8555632968130307,0.7777777777777778
