tgd_bin,skew_bin,mean,std,count,ann_return,sharpe,metric_type,skew_alpha_spread_ann,skew_alpha_spread_sharpe,n_days
TGD_high,S1,-9.80731028801637e-05,0.014699600491268347,1454.0,-0.024518275720040925,-0.10549075210770474,cell,,,
TGD_high,S2,0.00012243049800938254,0.01456163150210711,1454.0,0.030607624502345637,0.13293813564858326,cell,,,
TGD_high,S3,0.00021561417314608226,0.014619580173989797,1454.0,0.05390354328652056,0.2331913347855924,cell,,,
TGD_high,S4,0.00024936967903963365,0.01475536933673058,1454.0,0.06234241975990841,0.26721668131592874,cell,,,
TGD_high,S5,0.0003479081639843852,0.014848687626330341,1454.0,0.08697704099609631,0.37046446206031275,cell,,,
TGD_low,S1,0.0005015499823765189,0.01563571805013368,1454.0,0.12538749559412973,0.5071849913261738,cell,,,
TGD_low,S2,0.0004933528837639537,0.015635571315113367,1454.0,0.12333822094098842,0.4989004787431031,cell,,,
TGD_low,S3,0.0005580424224254933,0.015673660417927383,1454.0,0.13951060560637332,0.5629460632705661,cell,,,
TGD_low,S4,0.0005020634352822882,0.01590236876028263,1454.0,0.12551585882057203,0.4991910354091033,cell,,,
TGD_low,S5,0.0006056585177018323,0.015854551274775863,1454.0,0.15141462942545808,0.604009652189376,cell,,,
TGD_high,,,,,,,spread,0.1114953167161373,1.6466938204569295,1454.0
TGD_low,,,,,,,spread,0.02602713383132819,0.298236065491331,1454.0
