Date,direction,volatility
2022-01-28,sideways,low_vol
2022-02-07,sideways,low_vol
2022-02-08,sideways,low_vol
2022-02-09,sideways,low_vol
2022-02-10,sideways,low_vol
2022-02-11,sideways,low_vol
2022-02-14,sideways,low_vol
2022-02-15,sideways,low_vol
2022-02-16,sideways,low_vol
2022-02-17,sideways,low_vol
2022-02-18,sideways,low_vol
2022-02-21,sideways,low_vol
2022-02-22,sideways,low_vol
2022-02-23,sideways,low_vol
2022-02-24,sideways,low_vol
2022-02-25,sideways,high_vol
2022-02-28,sideways,high_vol
2022-03-01,sideways,high_vol
2022-03-02,sideways,low_vol
2022-03-03,sideways,low_vol
2022-03-04,sideways,low_vol
2022-03-07,sideways,high_vol
2022-03-08,sideways,high_vol
2022-03-09,sideways,high_vol
2022-03-10,sideways,high_vol
2022-03-11,sideways,high_vol
2022-03-14,sideways,high_vol
2022-03-15,sideways,high_vol
2022-03-16,sideways,high_vol
2022-03-17,sideways,high_vol
2022-03-18,sideways,high_vol
2022-03-21,sideways,high_vol
2022-03-22,sideways,high_vol
2022-03-23,sideways,high_vol
2022-03-24,sideways,high_vol
2022-03-25,sideways,high_vol
2022-03-28,sideways,high_vol
2022-03-29,sideways,high_vol
2022-03-30,sideways,high_vol
2022-03-31,sideways,high_vol
2022-04-01,sideways,high_vol
2022-04-06,sideways,high_vol
2022-04-07,sideways,high_vol
2022-04-08,sideways,high_vol
2022-04-11,sideways,high_vol
2022-04-12,sideways,high_vol
2022-04-13,sideways,high_vol
2022-04-14,sideways,high_vol
2022-04-15,sideways,high_vol
2022-04-18,sideways,high_vol
2022-04-19,sideways,high_vol
2022-04-20,sideways,high_vol
2022-04-21,bear,high_vol
2022-04-22,bear,high_vol
2022-04-25,bear,high_vol
2022-04-26,bear,high_vol
2022-04-27,bear,high_vol
2022-04-28,bear,high_vol
2022-04-29,bear,high_vol
2022-05-05,bear,high_vol
2022-05-06,bear,high_vol
2022-05-09,bear,high_vol
2022-05-10,bear,high_vol
2022-05-11,bear,high_vol
2022-05-12,bear,high_vol
2022-05-13,bear,high_vol
2022-05-16,bear,high_vol
2022-05-17,bear,high_vol
2022-05-18,bear,high_vol
2022-05-19,bear,high_vol
2022-05-20,bear,high_vol
2022-05-23,bear,high_vol
2022-05-24,bear,high_vol
2022-05-25,bear,high_vol
2022-05-26,bear,high_vol
2022-05-27,bear,high_vol
