signal,style,mean_cs_spearman,t_stat,n_days
raw,Size_log_float_mktcap,0.08786429394717184,20.198710537406864,951
raw,Momentum_20d,-0.10980959512474259,-30.40765081142602,951
raw,Volatility_20d,-0.42625294657841756,-107.12902103151573,951
raw,Liquidity_log_ADV20,-0.2010315910932197,-49.51152294646993,951
raw,Beta_60d,-0.11157035747243887,-26.380285992586877,951
size_industry,Size_log_float_mktcap,-0.0007131470210539174,-1.169884485749781,951
size_industry,Momentum_20d,-0.1150111549783876,-46.3222252993442,951
size_industry,Volatility_20d,-0.3736570024021595,-111.2631896896486,951
size_industry,Liquidity_log_ADV20,-0.2457282051255547,-115.22000387632971,951
size_industry,Beta_60d,-0.045300308534130675,-23.61729237477989,951
