factor_id,AmihudShockReversal5d
engine_id,amihud_shock_reversal_5d
status,testing_candidate
validation_level,confirmation_basic
window,confirmation_1455d
universe_headline,ALL
rank_ic_mean,0.03995
icir,4.356
ic_positive_ratio,0.615
hl_sharpe_gross,2.065
hl_annu_ret,0.414
hl_mdd,-0.256
hl_avg_turnover,2.549
monotonicity,0.90
ic_raw_density,0.02688
ic_after_d1,0.01719
corr_with_d1_rep,0.01588
density_classification,independent_alpha
net_sharpe_15bp,NOT_IN_ARTIFACTS
artifact_root,research/reports/d1_liquidity_density_v1/confirmation_1455d/amihud_shock_reversal_5d
